No. 	Peak Name 	Retention Time	Amount 	Est. Amt.	Rel.Area 	SI 	RSI 	Prob 	Peak Name Hit 2	Peak Name Hit 3	
1  	Acetone	5,25	129,8	98,8	0,13	941	953	88,93	1-Propen-2-ol, acetate	Oxirane, methyl-, (S)-
3  	Ethyl Acetate	6,66	18,4	13,6	0,02	931	931	89,26	CH3C(O)CH2CH2OH	n-Propyl acetate
5  	1-Butanol	7,76	38,8	n.a.	0,03	n.a.	n.a.	n.a.	Butane, 1-chloro-	Formic acid, butyl ester
8  	Disulfide, dimethyl	10,38	343,4	262,2	0,34	966	967	98,70	Dimethyl sulfone	Methanesulfonylacetic acid
9  	Toluene-D8	11,12	106,9	106,9	0,14	0	0	0,00	Ethene, 2-chloro-1,1-difluoro-	Cyclohexanecarboxylic acid, 1-amino-
13  	Cyclotrisiloxane, hexamethyl-	13,23	47,3	35,8	0,05	684	758	66,63	Acetic acid, butyl ester	1,4-Bis(trimethylsilyl)benzene
14  	Ethylbenzene	15,65	172,5	n.a.	0,18	n.a.	n.a.	n.a.	o-Xylene	Benzene, 1,3-dimethyl-
15  	1-Methoxy-2-propyl acetate	15,75	16,1	11,9	0,02	885	938	94,67	2-Ethoxyethyl acetate	1,2-Propanediol, 2-acetate
16  	o-Xylene	16,09	527,3	n.a.	0,57	n.a.	n.a.	n.a.	Benzene, 1,3-dimethyl-	p-Xylene
17  	Benzene, 1,3-dimethyl-	16,17	195,7	n.a.	0,22	n.a.	n.a.	n.a.	o-Xylene	p-Xylene
18  	o-Xylene	17,29	232,4	n.a.	0,25	n.a.	n.a.	n.a.	Benzene, 1,3-dimethyl-	Ethylbenzene
19  	Benzene, propyl-	20,49	15,6	11,5	0,01	919	921	78,88	Ethanol, 2-[(phenylmethyl)amino]-	Benzeneacetaldehyde
20  	Benzene, 1-chloro-4-methyl-	20,76	29,0	21,8	0,03	941	943	46,03	Benzene, 1-chloro-3-methyl-	Benzene, 1-chloro-2-methyl-
