No. 	Peak Name 	Retention Time	Amount 	Est. Amt.	Rel.Area 	SI 	RSI 	Prob 	Peak Name Hit 2	Peak Name Hit 3	
64  	Cyclohexanol, 1-methyl-4-(1-methylethyl)-, cis-	29,44	155,4	117,9	0,57	853	854	51,26	Cyclohexanol, 1-methyl-4-(1-methylethyl)-, trans-	Cyclohexanol, 5-methyl-2-(1-methylethyl)-, [1S-(1a,2ß,5ß)]-
65  	Cyclohexanemethanol, a,a,4-trimethyl-	29,59	60,0	45,2	0,22	826	882	58,45	Cyclohexanemethanol, a,a,4-trimethyl-, trans-	Cyclohexanemethanol, a,a,4-trimethyl-, cis-
66  	1,3-Dioxolane, 4-(chloromethyl)-2,2-dimethyl-	29,70	14,5	10,6	0,05	693	779	66,91	Silane, trimethylphenyl-	Silane, (chloromethyl)dimethylphenyl-
67  	Cyclohexanol, 5-methyl-2-(1-methylethyl)-, (1a,2ß,5ß)-	29,99	14,7	10,8	0,05	772	857	12,86	Cyclohexanol, 1-methyl-4-(1-methylethyl)-	Cyclohexanol, 5-methyl-2-(1-methylethyl)-, (1a,2ß,5a)-(±)-
70  	Cyclohexanol, 2-methyl-5-(1-methylethyl)-, (1a,2ß,5a)-	30,52	33,1	24,8	0,12	876	895	28,45	Cyclohexanol, 2-methyl-5-(1-methylethyl)-, (1a,2ß,5ß)-	Cyclohexanol, 2-methyl-5-(1-methylethyl)-, (1a,2a,5a)-
71  	Dodecane	30,59	18,6	13,7	0,07	923	931	34,84	Undecane	Pentadecane
74  	Tetrahydrocarvone	30,87	52,2	39,3	0,19	905	920	65,57	Cyclohexanone, 2-methyl-5-(1-methylethyl)-	4a(2H)-Naphthalenol, octahydro-, trans-
77  	Benzenepropanenitrile	31,58	10,95	7,92	0,04	756	856	45,94	Benzene, 3-pentenyl-	3-Butynylbenzene
78  	Oxirane, 2,2'-[1,4-butanediylbis(oxymethylene)]bis-	32,27	932,85	709,47	3,44	776	778	33,67	1-Butanol, 4-butoxy-	1-Butanol, 2,2-dimethyl-
79  	Oxirane, 2,2'-[1,4-butanediylbis(oxymethylene)]bis-	32,30	1423,48	1082,83	5,25	771	771	32,66	1-Butanol, 4-butoxy-	3-Bromooctane
80  	Benzaldehyde, 4-(1-methylethyl)-	32,67	13,84	10,12	0,05	650	668	8,36	1-(3,3-Dimethylbutyn-1-yl)-2,2-dimethylcyclopropene	Benzenepropanol, a-methyl-ß-nitro-, (R*,R*)-(.+-.)-
