No. 	Peak Name 	Retention Time	Amount 	Est. Amt.	Rel.Area 	SI 	RSI 	Prob 	Peak Name Hit 2	Peak Name Hit 3
69  	Cyclohexanol, 4-methyl-1-(1-methylethyl)-	29,39	30,9	23,0	0,11	827	866	77,35	1-Ethyl-2-methylcyclohexanol	Cyclohexanol, 2-methyl-5-(1-methylethyl)-, (1a,2ß,5ß)-
70  	Cyclohexanol, 1-methyl-4-(1-methylethyl)-, cis-	29,44	154,1	116,3	0,57	853	854	54,07	Cyclohexanol, 1-methyl-4-(1-methylethyl)-, trans-	Cyclohexanol, 5-methyl-2-(1-methylethyl)-, [1S-(1a,2ß,5ß)]-
71  	Cyclohexanemethanol, a,a,4-trimethyl-	29,59	58,7	44,1	0,21	812	869	55,25	Cyclohexanemethanol, a,a,4-trimethyl-, cis-	Cyclohexanemethanol, a,a,4-trimethyl-, trans-
76  	Cyclohexanol, 2-methyl-5-(1-methylethyl)-, (1a,2ß,5a)-	30,52	33,9	25,3	0,12	872	890	24,91	Cyclohexanol, 2-methyl-5-(1-methylethyl)-, (1a,2ß,5ß)-	Cyclohexanol, 2-methyl-5-(1-methylethyl)-
77  	Dodecane	30,60	19,2	14,2	0,07	917	927	34,74	Undecane	Tridecane
79  	Cyclodecanol	30,83	22,4	16,6	0,08	745	754	5,35	2-Octen-1-ol, 3,7-dimethyl-	Citronellol
80  	Tetrahydrocarvone	30,87	50,7	38,0	0,19	903	921	65,26	Cyclohexanone, 2-methyl-5-(1-methylethyl)-	4a(2H)-Naphthalenol, octahydro-, trans-
82  	Ethanol, 2-phenoxy-	31,31	16,98	12,46	0,06	878	908	89,72	Carbonic acid, ethyl phenyl ester	Carbamic acid, butylmethyl-, phenyl ester
84  	Oxirane, 2,2'-[1,4-butanediylbis(oxymethylene)]bis-	32,27	735,79	557,18	2,71	773	775	36,87	1-Butanol, 4-butoxy-	3-Bromooctane
85  	Oxirane, 2,2'-[1,4-butanediylbis(oxymethylene)]bis-	32,30	1494,01	1131,78	5,51	770	770	32,88	1-Butanol, 4-butoxy-	1-Butanol, 2,2-dimethyl-
86  	Benzaldehyde, 4-(1-methylethyl)-	32,68	14,18	10,33	0,05	648	672	16,53	Benzenemethanol, a-cyclopropyl-4-ethyl-	1-(3,3-Dimethylbutyn-1-yl)-2,2-dimethylcyclopropene
87  	Octane, 1-bromo-	32,78	12,22	8,84	0,04	574	664	21,99	Heptane, 1-bromo-	Decane, 1-bromo-
88  	Benzene, 1-methyl-4-butyl	32,90	10,92	7,86	0,04	732	782	20,45	Benzene, 1-methyl-4-(2-methylpropyl)-	Benzene, (1-methylbutyl)-
89  	Butane, 1,4-diethoxy-	33,07	191,47	144,69	0,70	740	782	60,72	Oxirane, 2,2'-[1,4-butanediylbis(oxymethylene)]bis-	1-Penten-3-ol, 2-methyl-
91  	Oxirane, (phenoxymethyl)-	33,58	24,35	18,04	0,09	562	662	25,60	Phenol, m-tert-butyl-	Phenol, 2-(1,1-dimethylethyl)-
92  	Propane, 1-chloro-2,2-diethoxy-	33,65	10,62	7,64	0,04	544	600	23,71	1,6-Octadiene, 3-ethoxy-3,7-dimethyl-	Pterin-6-carboxylic acid
93  	Tridecane	33,73	26,44	19,63	0,10	857	885	17,97	Dodecane	Tetradecane
94  	2-Propenoic acid, 2-methyl-, octyl ester	33,82	206,71	156,23	0,76	920	920	59,26	2-Ethylhexyl methacrylate	Octane, 4-chloro-
95  	cis-11-Hexadecenal	33,94	15,24	11,13	0,05	617	650	5,89	9-Tetradecenal, (Z)-	cis-9-Hexadecenal
97  	Oxirane, [[(2-ethylhexyl)oxy]methyl]-	34,20	19,74	14,55	0,07	912	913	72,97	1-Hexanol, 2-ethyl-	1-Pentanol, 2-ethyl-4-methyl-
98  	Oxirane, 2,2'-[1,4-butanediylbis(oxymethylene)]bis-	34,32	12,61	9,14	0,04	657	704	14,79	Ethylene glycol diglycidyl ether	Decanoic acid, 2-propenyl ester
