No. 	Peak Name 	Retention Time	Amount 	Est. Amt.	Rel.Area 	SI 	RSI 	Prob 	Peak Name Hit 2	Peak Name Hit 3	
1  	Acetone	5,25	613,9	463,4	0,63	961	965	92,80	Oxirane, methyl-, (S)-	Ethene, methoxy-
3  	Ethyl Acetate	6,66	97,1	72,9	0,10	940	940	93,15	CH3C(O)CH2CH2OH	n-Propyl acetate
4  	1-Butanol	7,75	181,0	n.a.	0,15	n.a.	n.a.	n.a.	Formic acid, butyl ester	Butane, 1-chloro-
8  	Disulfide, dimethyl	10,39	283,6	213,9	0,29	962	963	98,73	Dimethyl sulfone	Methanesulfonylacetic acid
9  	Toluene-D8	11,12	106,9	106,9	0,14	0	0	0,00	Ethene, 2-chloro-1,1-difluoro-	1,4-Di(methyl-d3)benzene-d4
14  	Acetic acid, butyl ester	13,23	226,8	170,9	0,23	887	955	93,73	Isobutyl acetate	Acetic acid, hexyl ester
15  	Ethylbenzene	15,65	220,8	n.a.	0,25	n.a.	n.a.	n.a.	o-Xylene	Benzene, 1,3-dimethyl-
16  	1-Methoxy-2-propyl acetate	15,76	16,5	12,1	0,02	847	919	93,14	2-Ethoxyethyl acetate	1,2-Propanediol, 2-acetate
17  	Benzene, 1,3-dimethyl-	16,10	655,0	n.a.	0,75	n.a.	n.a.	n.a.	o-Xylene	p-Xylene
18  	o-Xylene	16,18	225,8	n.a.	0,27	n.a.	n.a.	n.a.	Benzene, 1,3-dimethyl-	p-Xylene
19  	Benzene, 1,3-dimethyl-	17,29	280,2	n.a.	0,31	n.a.	n.a.	n.a.	o-Xylene	p-Xylene
22  	Benzene, 1-chloro-4-methyl-	20,76	223,9	168,8	0,23	945	947	53,14	Benzene, 1-chloro-3-methyl-	Benzene, 1-chloro-2-methyl-
23  	Benzene, 1-ethyl-4-methyl-	20,87	49,9	37,3	0,05	922	926	27,57	Benzene, 1-ethyl-2-methyl-	Benzene, 1-ethyl-3-methyl-
24  	Benzaldehyde	20,93	77,8	58,4	0,08	921	929	79,99	Phenylglyoxal	ethanone, 2,2-dichloro-2-fluoro-1-phenyl-
25  	Benzene, 1-ethyl-2-methyl-	21,03	22,1	16,3	0,02	712	865	33,84	Benzene, 1-ethyl-4-methyl-	Benzene, 1-ethyl-3-methyl-
26  	Benzene, 1,2,3-trimethyl-	21,29	41,5	31,0	0,04	932	939	30,28	Benzene, 1,2,4-trimethyl-	Mesitylene
27  	Dimethyl trisulfide	21,37	16,6	12,1	0,02	901	914	98,74	Bis-(methylthio)-phosphine	S-Methyl methanethiosulphonate
28  	Cyclotetrasiloxane, octamethyl-	21,70	204,5	154,1	0,21	889	906	54,12	trisiloxane, 1,1,1,5,5,5-hexamethyl-3-[(trimethylsilyl)oxy]-	2,6-Dihydroxyacetophenone, 2TMS derivative
29  	Benzonitrile	22,01	17,6	12,9	0,02	933	934	77,70	2-Ethynyl pyridine	Tricyclo[3.1.0.0(2,4)]hex-3-ene-3-carbonitrile
30  	Benzene, 1,2,4-trimethyl-	22,51	187,4	141,2	0,19	942	946	27,08	Benzene, 1,2,3-trimethyl-	Benzene, 1-ethyl-4-methyl-
35  	Propane, 1,2-dimethoxy-	23,74	29,2	21,6	0,03	750	793	16,25	1-(1-Methoxypropan-2-yloxy)propan-2-yl acetate	2-Propanol, 1-(2-methoxypropoxy)-
36  	Benzene, 1,2,3-trimethyl-	23,79	32,5	24,2	0,03	913	929	22,95	Benzene, 1-ethyl-3-methyl-	Benzene, 1-ethyl-2-methyl-
37  	1-Hexanol, 2-ethyl-	23,96	23,9	17,6	0,02	925	938	63,27	2-Ethyl-1-hexanol	2-Propyl-1-pentanol
38  	Benzyl alcohol	24,27	419,3	316,4	0,43	957	957	76,60	L-Arginine, N2-[(phenylmethoxy)carbonyl]-	Phenol, 3-methyl-
39  	Benzene, 1-propenyl-	24,43	28,1	20,8	0,03	765	813	15,53	Benzene, 1-ethenyl-2-methyl-	Benzene, 2-propenyl-
45  	Benzoic acid, methyl ester	26,87	16,0	11,7	0,02	921	924	74,11	Benzoic acid, hydrazide	Ethanone, 2-hydroxy-1-phenyl-
46  	Undecane	26,98	20,8	15,3	0,02	730	836	26,63	Tridecane	Decane
47  	Nonanal	27,15	29,8	22,1	0,03	933	934	81,74	2-Nonen-1-ol	2-Nonen-1-ol, (E)-
48  	Ethane, 1,1'-oxybis[2-methoxy-	27,52	16,5	12,1	0,02	763	791	67,77	Ethanol, 2-[2-(2-methoxyethoxy)ethoxy]-	Methanol, TMS derivative
51  	Cyclopentasiloxane, decamethyl-	28,14	410,5	309,7	0,42	898	899	97,87	2,6-Dihydroxybenzoic acid, 3TMS derivative	3,4-Dihydroxyphenylglycol, 4TMS derivative
62  	Dodecane	30,60	17,8	13,0	0,02	923	931	36,97	Undecane	Tetradecane
63  	Decanal	30,81	68,9	51,6	0,07	891	892	51,68	2-Decen-1-ol	Dodecanal
65  	Ethanol, 2-phenoxy-	31,33	16,74	12,23	0,02	627	828	67,22	Benzene, [(2-chloro-2-propenyl)oxy]-	Benzene, [(3-chloro-2-propenyl)oxy]-
