No. 	Peak Name 	Retention Time	Amount 	Est. Amt.	Rel.Area 	SI 	RSI 	Prob 	Peak Name Hit 2	Peak Name Hit 3
1  	Acetone	5,26	45,8	34,5	0,29	932	949	91,69	Oxirane, methyl-, (S)-	Propylene oxide
2  	2-Butanone	6,37	173,1	131,4	1,12	932	958	90,07	2-Hexanone, 3,4-dimethyl-	2-Propen-1-ol, 2-methyl-, acetate
3  	Toluene-D8	11,13	106,9	106,9	0,91	0	0	0,00	Ethene, 2-chloro-1,1-difluoro-	Cyclohexanecarboxylic acid, 1-amino-
4  	Cyclohexene, 4-ethenyl-	14,40	66,0	49,9	0,43	925	926	65,54	1,5-Cyclooctadiene	Bicyclo(3.2.1)oct-2-ene
5  	Styrene	17,23	52,7	n.a.	0,35	n.a.	n.a.	n.a.	1,3,5,7-Cyclooctatetraene	Bicyclo[4.2.0]octa-1,3,5-triene
6  	Cyclotetrasiloxane, octamethyl-	21,71	173,5	131,8	1,13	890	909	56,68	trisiloxane, 1,1,1,5,5,5-hexamethyl-3-[(trimethylsilyl)oxy]-	3-Ethoxy-1,1,1,5,5,5-hexamethyl-3-(trimethylsiloxy)trisiloxane
7  	Benzyl alcohol	24,27	67,1	50,7	0,43	938	941	67,64	L-Arginine, N2-[(phenylmethoxy)carbonyl]-	N-a,N-?-Di-cbz-L-arginine
8  	Cyclohexanol, 1-methyl-4-(1-methylethyl)-, cis-	28,70	47,1	35,4	0,30	831	834	47,40	Cyclohexanol, 1-methyl-4-(1-methylethyl)-, trans-	Cyclohexanol, 1-methyl-4-(1-methylethyl)-
9  	Benzoic acid, 3,5-dimethyl-, (2,4-dimethylphenyl)methyl ester	30,38	2046,6	1559,1	13,31	720	720	14,17	1,3-Propanediol, 2-methyl-2-phenyl-	Benzenepropanoic acid, 3-phenylpropyl ester
10  	Benzenemethanol, 2,5-dimethyl-	31,83	73,13	55,31	0,47	893	893	65,42	Benzyl alcohol, 2,3-dimethyl-	1-(2-Methylphenyl)ethanol
11  	Benzenemethanol, 2,5-dimethyl-	32,03	1015,74	773,56	6,61	913	913	72,07	Benzenemethanol, 2,4-dimethyl-	Benzyl alcohol, 2,3-dimethyl-
12  	2-Propenoic acid, 2-methyl-, octyl ester	33,83	53,92	40,67	0,35	852	877	54,28	2-Ethylhexyl methacrylate	1,3-Propanediol, 2-butyl-2-ethyl-
