No. 	Peak Name 	Retention Time	Amount 	Est. Amt.	Rel.Area 	SI 	RSI 	Prob 	Peak Name Hit 2	Peak Name Hit 3
1  	2-Propanone, 1-methoxy-	5,29	41,1	29,2	0,01	827	832	68,08	Oxirane, (methoxymethyl)-	Oxirane, trimethyl-
2  	Acetic acid	6,24	156,1	111,9	0,04	858	905	77,56	Ammonium acetate	Acetic acid, anhydride with formic acid
4  	2-Butanone	6,38	131,4	94,1	0,03	923	947	91,91	2-Hexanone, 3,4-dimethyl-	2,4-Pentanedione, 3-methyl-
5  	Propanoic acid, 2-hydroxy-, methyl ester, (±)-	6,63	58,7	41,8	0,01	776	794	20,70	Methyltartronic acid	Isopropyl Alcohol
6  	Ethyl Acetate	6,67	34,3	24,2	0,01	822	824	79,02	CH3C(O)CH2CH2OH	Acetoin
7  	Methyl propionate	7,01	46,6	33,1	0,01	887	910	96,29	1-Hydroxy-2-butanone	t-Butyl nitrite
8  	2-Propanone, 1-hydroxy-	7,72	282,4	202,7	0,07	879	882	74,08	Acetic acid, methyl ester	Acetic anhydride
9  	Benzene	7,78	1448,7	n.a.	0,30	n.a.	n.a.	n.a.	1,3-Hexadien-5-yne	2,4-Hexadiyne
10  	1-Pentene, 4-methyl-	7,87	17,6	12,3	0,00	635	789	29,24	Cyclohexane	1-Hexanol
11  	Methyl isobutyrate	8,34	225,5	161,8	0,06	926	928	93,79	Butanoic acid, methyl ester	Butyric acid hydrazide
12  	Propanoic acid	8,56	15,6	10,8	0,00	815	872	89,25	Ethanol, 2-nitro-, propionate (ester)	Butanoic acid, 2-methyl-
13  	Furan, 2,5-dimethyl-	8,99	121,8	87,2	0,03	942	943	94,01	1H-Pyrazole, 1,3-dimethyl-	3,5-Dimethylpyrazole
14  	Methyl methacrylate	9,13	17712,1	12739,1	4,49	959	959	95,75	2-Propenoic acid, 2-methyl-, 3-hydroxypropyl ester	2-Propenoic acid, 2-methyl-, 2-hydroxypropyl ester
15  	Methyl methacrylate	9,18	14040,7	10098,4	3,56	933	933	95,01	2-Propenoic acid, 2-methyl-, 3-hydroxypropyl ester	Cyclopropanecarboxylic acid, methyl ester
16  	Methyl methacrylate	9,28	75,8	54,1	0,02	841	884	87,14	2-Butenoic acid, methyl ester, (E)-	Cyclopropanecarboxylic acid, methyl ester
17  	Methyl methacrylate	9,36	146,8	105,2	0,04	780	800	75,39	2-Propenoic acid, 2-methyl-, 3-hydroxypropyl ester	2-Propenoic acid, 2-methyl-, 2-hydroxypropyl ester
18  	Propanoic acid, 2-oxo-, methyl ester	9,68	232,3	166,7	0,06	946	957	96,50	Acetic anhydride	Hydrogen azide
