No. 	Peak Name 	Retention Time	Amount 	Est. Amt.	Rel.Area 	SI 	RSI 	Prob 	Peak Name Hit 2	Peak Name Hit 3
1  	Acetone	5,25	32,5	23,6	0,21	921	939	85,26	Butane	1-Propen-2-ol, acetate
2  	2-Butanone	6,37	154,8	113,8	1,00	928	952	89,84	2-Hexanone, 3,4-dimethyl-	2-Propen-1-ol, 2-methyl-, acetate
4  	Methyl methacrylate	9,11	23,3	16,8	0,15	951	956	94,29	2-Propenoic acid, 2-methyl-, 3-hydroxypropyl ester	2-Butenoic acid, methyl ester, (E)-
5  	Toluene-D8	11,12	106,9	106,9	0,94	0	0	0,00	Ethene, 2-chloro-1,1-difluoro-	Cyclohexanecarboxylic acid, 1-amino-
6  	Toluene	11,29	25,2	n.a.	0,16	n.a.	n.a.	n.a.	1,3,5-Cycloheptatriene	Spiro[2,4]hepta-4,6-diene
9  	Cyclotrisiloxane, hexamethyl-	13,25	22,3	16,1	0,14	929	939	94,86	Arsenous acid, tris(trimethylsilyl) ester	Tris(tert-butyldimethylsilyloxy)arsane
10  	Cyclohexene, 4-ethenyl-	14,39	66,5	48,6	0,43	917	918	63,95	1,5-Cyclooctadiene	Bicyclo(3.2.1)oct-2-ene
11  	3,4-Dimethylperhydro-1,3-oxazine	16,46	76,1	55,7	0,49	672	687	18,36	Morpholine, 2,6-dimethyl-	Morpholine, 2,6-dimethyl-, cis-
12  	Styrene	17,23	49,8	n.a.	0,34	n.a.	n.a.	n.a.	1,3,5,7-Cyclooctatetraene	Bicyclo[4.2.0]octa-1,3,5-triene
13  	Cyclohexanone, 4-methyl-	20,75	20,9	15,0	0,13	852	878	36,52	2-Octene, (E)-	Cyclopentanone, 2,3-dimethyl-
14  	Cyclotetrasiloxane, octamethyl-	21,71	171,1	125,8	1,11	892	911	58,01	trisiloxane, 1,1,1,5,5,5-hexamethyl-3-[(trimethylsilyl)oxy]-	3-Ethoxy-1,1,1,5,5,5-hexamethyl-3-(trimethylsiloxy)trisiloxane
15  	Cyclohexane, 1-methyl-4-(1-methylethyl)-, cis-	21,83	37,0	26,9	0,24	942	942	46,14	1-Methyl-4-(1-methylethyl)-cyclohexane	Cyclohexane, 1-methyl-4-(1-methylethyl)-, trans-
16  	Cyclohexane, 1-methyl-4-(1-methylethyl)-, cis-	22,50	27,6	19,9	0,18	900	924	39,10	1-Methyl-4-(1-methylethyl)-cyclohexane	Cyclohexane, 1-methyl-4-(1-methylethyl)-, trans-
17  	2-Hydroxyethyl methacrylate	23,17	17,1	12,2	0,11	879	883	73,06	2-Propenoic acid, 2-methyl-, propyl ester	1-Octen-4-ol
18  	4-Cyanocyclohexene	23,60	22,0	15,8	0,14	891	896	80,70	Cyclohexen-1-carbonitrile	Cyclopentanecarbonitrile, 3-methylene-
20  	Benzyl alcohol	24,27	61,3	44,8	0,39	931	936	69,44	L-Arginine, N2-[(phenylmethoxy)carbonyl]-	N-Cbz-glycylglycine p-nitrophenyl ester
21  	Cyclopentasiloxane, decamethyl-	28,14	16,4	11,7	0,10	879	884	96,91	2,6-Dihydroxybenzoic acid, 3TMS derivative	3,4-Dihydroxymandelic acid, ethyl ester, tri-TMS
22  	Cyclohexanol, 1-methyl-4-(1-methylethyl)-, cis-	28,70	46,6	34,0	0,30	844	845	50,30	Cyclohexanol, 1-methyl-4-(1-methylethyl)-, trans-	Cyclohexanol, 5-methyl-2-(1-methylethyl)-, [1S-(1a,2ß,5ß)]-
23  	Cyclohexanemethanol, a,a,4-trimethyl-	29,01	26,1	18,9	0,17	879	884	58,21	Cyclohexanemethanol, a,a,4-trimethyl-, cis-	Cyclohexanemethanol, a,a,4-trimethyl-, trans-
