No. 	Peak Name 	Retention Time	Amount 	Est. Amt.	Rel.Area 	SI 	RSI 	Prob 	Peak Name Hit 2	Peak Name Hit 3
1  	2-Propanone, 1-methoxy-	5,28	43,1	31,1	0,01	814	824	61,70	Oxirane, (methoxymethyl)-	Cyclopropyl methyl carbinol
2  	Acetic acid	6,26	230,9	168,4	0,07	863	911	79,01	Ammonium acetate	Acetic acid, anhydride with formic acid
3  	2-Butanone	6,38	122,6	89,2	0,04	929	958	90,95	2-Hexanone, 3,4-dimethyl-	2,4-Pentanedione, 3-methyl-
4  	Isopropyl Alcohol	6,63	66,5	48,2	0,02	798	831	22,36	Propanoic acid, 2-hydroxy-, methyl ester, (±)-	L-Lactic acid
5  	Ethyl Acetate	6,67	28,6	20,5	0,01	808	810	74,62	CH3C(O)CH2CH2OH	Acetoin
7  	Methyl propionate	7,01	33,7	24,3	0,01	858	891	94,84	1-Hydroxy-2-butanone	t-Butyl nitrite
9  	2-Propanone, 1-hydroxy-	7,72	336,3	245,4	0,11	884	885	75,19	Acetic acid, methyl ester	Acetic anhydride
10  	Benzene	7,78	1075,8	n.a.	0,27	n.a.	n.a.	n.a.	2,4-Hexadiyne	1,3-Hexadien-5-yne
11  	1-Pentene, 4-methyl-	7,86	17,3	12,3	0,01	601	799	32,77	Acetic acid, 2-ethylbutyl ester	1-Hexanol
12  	Methyl isobutyrate	8,34	150,7	109,8	0,05	921	924	93,98	Butanoic acid, methyl ester	Butyric acid hydrazide
14  	Furan, 2,5-dimethyl-	8,99	145,4	105,9	0,05	950	951	95,22	3,5-Dimethylpyrazole	2-Cyclopenten-1-one, 3-methyl-
15  	Methyl methacrylate	9,16	21770,8	15912,7	6,86	945	945	95,72	2-Propenoic acid, 2-methyl-, 3-hydroxypropyl ester	2-Propenoic acid, 2-methyl-, 2-hydroxypropyl ester
16  	Methyl methacrylate	9,25	53,7	38,8	0,02	867	899	90,26	2-Butenoic acid, methyl ester, (E)-	Cyclopropanecarboxylic acid, methyl ester
