No. 	Peak Name 	Retention Time	Amount 	Est. Amt.	Rel.Area 	SI 	RSI 	Prob 	Peak Name Hit 2	Peak Name Hit 3
1  	2-Propanone, 1-methoxy-	5,28	86,8	63,0	0,03	821	827	63,81	Oxirane, (methoxymethyl)-	Cyclopropyl methyl carbinol
2  	Acetic acid	6,25	198,3	144,4	0,06	870	894	80,96	Ammonium acetate	Acetic acid, anhydride with formic acid
3  	2-Butanone	6,37	290,4	211,7	0,09	935	961	90,20	2-Hexanone, 3,4-dimethyl-	2-Propen-1-ol, 2-methyl-, acetate
4  	Isopropyl Alcohol	6,62	96,0	69,7	0,03	793	824	31,42	Propanoic acid, 2-hydroxy-, methyl ester, (±)-	L-Lactic acid
5  	Ethyl Acetate	6,66	62,0	44,9	0,02	846	847	82,73	CH3C(O)CH2CH2OH	Acetoin
6  	Methyl propionate	7,00	84,7	61,5	0,03	874	904	95,88	1-Hydroxy-2-butanone	t-Butyl nitrite
7  	2-Propanone, 1-hydroxy-	7,72	513,9	375,0	0,15	891	895	76,54	Acetic acid, methyl ester	Acetic anhydride
8  	Benzene	7,78	2159,3	n.a.	0,52	n.a.	n.a.	n.a.	1,3-Hexadien-5-yne	1,5-Hexadien-3-yne
9  	1-Pentene, 4-methyl-	7,86	24,3	17,3	0,01	708	815	37,26	Cyclohexane	1-Hexene
10  	Methyl isobutyrate	8,33	346,2	252,5	0,10	918	920	92,28	Butyric acid hydrazide	Butanoic acid, methyl ester
11  	Furan, 2,5-dimethyl-	8,99	151,6	110,4	0,05	939	944	93,56	1H-Pyrazole, 1,3-dimethyl-	3,5-Dimethylpyrazole
12  	Methyl methacrylate	9,12	21315,5	15569,7	6,37	949	949	95,40	2-Propenoic acid, 2-methyl-, 3-hydroxypropyl ester	Cyclopropanecarboxylic acid, methyl ester
13  	Methyl methacrylate	9,19	20535,5	15000,0	6,14	920	920	95,13	2-Propenoic acid, 2-methyl-, 3-hydroxypropyl ester	Cyclopropanecarboxylic acid, methyl ester
14  	Methyl methacrylate	9,36	164,9	120,1	0,05	821	835	85,91	2-Propenoic acid, 2-methyl-, 3-hydroxypropyl ester	2-Propenoic acid, 2-methyl-, 2-hydroxypropyl ester
15  	Propanoic acid, 2-oxo-, methyl ester	9,68	227,6	165,9	0,07	943	958	96,47	Acetic anhydride	Hydrogen azide
16  	Propylene Glycol	10,13	37,8	27,2	0,01	859	897	63,52	Isopropyl Alcohol	(S)-(+)-1,2-Propanediol
17  	Toluene-D8	11,13	106,9	106,9	0,04	0	0	0,00	Cyclohexanecarboxylic acid, 1-amino-	dl-a-Methylglutamic acid
18  	Toluene	11,30	205,6	n.a.	0,06	n.a.	n.a.	n.a.	1,3,5-Cycloheptatriene	Spiro[2,4]hepta-4,6-diene
19  	1,3-Dioxolane, 2-ethyl-4-methyl-	11,94	35,0	25,1	0,01	831	832	80,97	1,3-Dioxane	1,3-Dioxolane, 2-butyl-4-methyl-
20  	2-Butenoic acid, (E)-	12,15	80,2	58,2	0,02	684	700	24,68	2-Propenoic acid, 2-methyl-	3-(Hydroxyamino)-2-methylpent-1-ene
21  	2-Butenoic acid, (E)-	12,21	59,0	42,7	0,02	693	747	30,30	2-Propenoic acid, 2-methyl-	Crotonic acid
22  	1,3-Dioxolane, 2-ethyl-4-methyl-	12,33	20,4	14,5	0,01	869	871	89,54	1,3-Dioxane	1,3-Dioxolane, 2-butyl-4-methyl-
23  	3-Heptene, 3-methyl-	12,53	36,5	26,3	0,01	809	845	13,80	2-Hexene, 2,3-dimethyl-	3-Heptene, 5-methyl-
24  	2-Propenoic acid, 2-methyl-	12,70	896,4	654,4	0,27	824	836	31,70	2-Butenoic acid, (E)-	Crotonic acid
25  	2-Butenoic acid, (E)-	12,78	367,8	268,2	0,11	792	794	33,07	2-Propenoic acid, 2-methyl-	3-Butenoic acid
26  	2-Propenoic acid, 2-methyl-	12,87	401,6	293,0	0,12	871	878	31,06	2-Butenoic acid, (E)-	Crotonic acid
27  	2-Butenoic acid, (E)-	13,04	652,0	475,9	0,19	813	847	37,88	2-Propenoic acid, 2-methyl-	Crotonic acid
28  	Cyclotrisiloxane, hexamethyl-	13,26	1946,8	1421,7	0,58	863	950	94,33	Arsenous acid, tris(trimethylsilyl) ester	Tris(tert-butyldimethylsilyloxy)arsane
29  	2-Propenoic acid, 2-methyl-	13,96	5420,5	3959,1	1,62	909	913	47,15	2-Butenoic acid, (E)-	Crotonic acid
30  	2-Propenoic acid, 2-methyl-	14,05	877,4	640,5	0,26	908	910	43,88	2-Butenoic acid, (E)-	Crotonic acid
31  	2-Propenoic acid, 2-methyl-	14,09	403,9	294,6	0,12	908	910	43,83	2-Butenoic acid, (E)-	Crotonic acid
32  	Cyclohexene, 4-ethenyl-	14,40	71,4	51,8	0,02	898	898	48,59	1,5-Cyclooctadiene	Bicyclo(3.2.1)oct-2-ene
33  	2-Propanol, 1-(2-propenyloxy)-	14,78	28,5	20,4	0,01	820	820	80,05	Ethanol, 2-(2-propenyloxy)-	Ethanol, 2-[2-(2-propenyloxy)ethoxy]-
34  	2-Methyoxirane-2-carboxylic acid, methyl ester	14,93	64,0	46,3	0,02	711	787	53,61	Methyl 2-methoxypropenoate	2-Heptanol, 3-methyl-
35  	3-Hexenoic acid, methyl ester	15,30	23,5	16,7	0,01	708	730	18,15	Butanoic acid, 3-methyl-2-methylene-, methyl ester	2-Pentenoic acid, 4-methyl-, methyl ester
36  	Ethylbenzene	15,66	469,5	n.a.	0,16	n.a.	n.a.	n.a.	o-Xylene	Benzene, 1,3-dimethyl-
37  	Benzene, 1,3-dimethyl-	16,12	1151,1	n.a.	0,40	n.a.	n.a.	n.a.	o-Xylene	p-Xylene
38  	o-Xylene	16,19	453,2	n.a.	0,17	n.a.	n.a.	n.a.	Benzene, 1,3-dimethyl-	p-Xylene
39  	Dimethadione	16,44	17,5	12,4	0,01	769	801	81,14	2-Pentanone, 4-hydroxy-4-methyl-	Oxirane, tetramethyl-
40  	3-Heptanone	16,82	182,5	132,9	0,05	873	873	52,50	3-Hexanone, 5-methyl-	3,5-Octanedione, 2,2,4,7-tetramethyl-
41  	Cyclohexanol	17,05	41,4	29,8	0,01	925	926	66,24	Cyclopentanol, 2-methyl-	2-Hexen-1-ol, (Z)-
42  	p-Xylene	17,31	304,6	n.a.	0,10	n.a.	n.a.	n.a.	Benzene, 1,3-dimethyl-	o-Xylene
43  	2-Cyclopenten-1-one, 3,4-dimethyl-	19,56	15,8	11,2	0,00	770	786	26,47	1,3-Dimethyl-1-cyclohexene	Cyclohexene, 1,2-dimethyl-
44  	2,5-Furandione, 3-methyl-	19,66	1534,5	1120,5	0,46	829	880	74,50	2,5-Furandione, dihydro-3-methylene-	Furan
45  	2,5-Furandione, 3-methyl-	19,72	850,8	621,0	0,25	917	919	58,55	2,5-Furandione, dihydro-3-methylene-	Furan
46  	2,5-Furandione, dihydro-3-methylene-	19,77	1902,5	1389,3	0,57	904	905	48,34	2,5-Furandione, 3-methyl-	Furan
47  	3-Cyclohexene-1-carboxaldehyde	20,33	24,9	17,8	0,01	907	914	86,98	3-Oxatricyclo[3.2.1.0(2,4)]octane, (1a,2ß,4ß,5a)-	Tricyclo[2.2.1.0(2,6)]heptan-3-ol
48  	Hexanal, 2-ethyl-	20,45	261,2	190,4	0,08	956	956	83,47	2-Ethylhexanal	1-Octen-3-ol
49  	Benzaldehyde	20,96	66,7	48,3	0,02	918	923	70,09	Phenylglyoxal	ethanone, 2,2-dichloro-2-fluoro-1-phenyl-
50  	2,4-Pentanediol	21,61	14,7	10,3	0,00	629	751	24,39	Oxetane, 2,4-dimethyl-, trans-	(2S,4S)-(+)-Pentanediol
51  	Cyclotetrasiloxane, octamethyl-	21,79	33409,6	24404,0	9,99	850	878	54,50	trisiloxane, 1,1,1,5,5,5-hexamethyl-3-[(trimethylsilyl)oxy]-	3-Ethoxy-1,1,1,5,5,5-hexamethyl-3-(trimethylsiloxy)trisiloxane
52  	4(1H)-Pyrimidinone	23,05	16,1	11,4	0,00	692	723	25,75	1H-Imidazole-2-carboxaldehyde	2(1H)-Pyrazinone
53  	2-Hydroxyethyl methacrylate	23,22	1829,5	1336,0	0,55	875	875	73,96	1-Octen-4-ol	2-Propenoic acid, 2-methyl-, propyl ester
54  	Prenol	23,35	44,5	32,1	0,01	720	727	10,15	3-Buten-2-ol, 2-methyl-	3,3-Dimethyl-2,4-pentane dione
55  	2-Propanol, 1,1'-oxybis-	23,61	124,2	90,3	0,04	828	840	90,28	1,3-Pentanediol, 2-methyl-	Formic acid, 1-methylethyl ester
56  	2-Propanol, 1,1'-oxybis-	23,64	196,7	143,3	0,06	828	842	86,27	1,3-Pentanediol, 2-methyl-	1-Butanol, 3-methoxy-
58  	1-Hexanol, 2-ethyl-	24,01	3773,7	2756,2	1,13	919	919	42,85	2-Ethyl-1-hexanol	2-Propyl-1-pentanol
59  	Benzyl alcohol	24,31	600,6	438,3	0,18	947	951	75,02	Phenol, 3-methyl-	N-Cbz-glycylglycine p-nitrophenyl ester
60  	Acetic acid, cyclohexyl ester	24,54	104,6	76,0	0,03	728	769	43,20	2-Hexen-1-ol, acetate, (E)-	2-Hexen-1-ol, acetate
61  	Decane, 3-methyl-	24,81	60,4	43,8	0,02	854	859	26,95	Dodecane	Nonane, 5-butyl-
