No. 	Peak Name 	Retention Time	Amount 	Est. Amt.	Rel.Area 	SI 	RSI 	Prob 	Peak Name Hit 2	Peak Name Hit 3
1  	Acetone	5,21	228493930,4	928,6	4,30	951	956	92,36	Oxirane, methyl-, (S)-	Ethene, methoxy-
2  	Silanol, trimethyl-	5,91	3921594,9	15,9	0,07	803	806	74,99	Propanoic acid, 2,3-dihydroxy-	Ethanol, 2-(trimethylsilyl)-
3  	2,3-Butanedione	6,22	1508517,1	6,1	0,03	824	843	77,01	Acetic acid ethenyl ester	2-Propanone, 1-(acetyloxy)-
4  	2-Butanone	6,31	119146261,5	484,2	2,24	927	953	90,38	2-Hexanone, 3,4-dimethyl-	2-Propen-1-ol, 2-methyl-, acetate
5  	Ethyl Acetate	6,61	34833346,4	141,6	0,66	932	932	92,89	CH3C(O)CH2CH2OH	Methyl glyoxal
6  	1-Butanol	7,70	422,3	n.a.	1,15	n.a.	n.a.	n.a.	Formic acid, butyl ester	Butane, 1-chloro-
7  	Ethanone, 1-cyclopropyl-	7,95	24339553,3	98,9	0,46	909	911	53,71	3-Buten-2-one, 3-methyl-	3-Penten-2-one, (E)-
8  	Methyl methacrylate	9,05	9115676,6	37,0	0,17	940	943	93,56	2-Butenoic acid, methyl ester, (E)-	Cyclopropanecarboxylic acid, methyl ester
9  	Toluene-D8	11,05	106,9	106,9	0,49	0	0	0,00	Cyclohexanecarboxylic acid, 1-amino-	Ethene, 2-chloro-1,1-difluoro-
10  	Toluene	11,22	225833026,7	n.a.	4,25	n.a.	n.a.	n.a.	1,3,5-Cycloheptatriene	Spiro[2,4]hepta-4,6-diene
11  	1,3-Diisopropoxy-1,3-dimethyl-1,3-disilacyclobutane	11,92	1610378,5	6,5	0,03	618	625	40,94	4-Ethylbenzamide	Silane, diethoxydimethyl-
12  	Propane, 1,3-dichloro-	12,00	27536448,1	111,9	0,52	953	954	94,05	1-Propene, 2-chloro-	Allyl chloride
13  	Cyclopentanone	12,19	5340622,0	21,7	0,10	928	932	77,09	2-Hexene, (Z)-	2-Hexene
14  	Hexanal	12,59	1826126,2	7,4	0,03	776	799	27,86	Octane	Hexane, 2,4-dimethyl-
15  	Acetic acid, butyl ester	13,16	77696936,5	315,8	1,46	880	945	94,07	Isobutyl acetate	Acetic acid, hexyl ester
16  	Heptane, 2,4-dimethyl-	13,57	1556057,1	6,3	0,03	895	916	26,15	Hexane, 2,4-dimethyl-	Octane
17  	Cyclohexene, 4-ethenyl-	14,32	155964633,9	633,8	2,94	907	908	55,70	1,5-Cyclooctadiene	Bicyclo(3.2.1)oct-2-ene
18  	Benzene, chloro-	14,87	1928068,3	7,8	0,04	912	915	98,58	Diphenyliodonium chloride	Propane, 3-chloro-1,1,1-trifluoro-
19  	Ethylbenzene	15,58	229,2	n.a.	0,88	n.a.	n.a.	n.a.	Benzene, 1,3-dimethyl-	o-Xylene
20  	Benzene, 1,3-dimethyl-	16,03	101335275,4	411,8	1,91	952	952	40,14	o-Xylene	p-Xylene
21  	Benzene, 1,3-dimethyl-	16,10	209,1	n.a.	0,82	n.a.	n.a.	n.a.	o-Xylene	p-Xylene
22  	Styrene	17,15	155465624,3	631,8	2,93	975	975	78,59	1,3,5,7-Cyclooctatetraene	Bicyclo[4.2.0]octa-1,3,5-triene
23  	Benzene, 1,3-dimethyl-	17,21	38664283,7	157,1	0,73	924	925	31,04	o-Xylene	Ethylbenzene
24  	Cyclopentanone, 2-methyl-	17,32	18,9	n.a.	0,06	n.a.	n.a.	n.a.	Cyclohexanone	Cyclopentanone, 3-methyl-
25  	Nonane	17,54	4200579,9	17,1	0,08	862	904	38,38	Hexane, 2,4-dimethyl-	Decane
26  	Benzene, (1-methylethyl)-	18,84	3041505,1	12,4	0,06	903	908	44,56	Benzene, 1-ethyl-2-methyl-	Benzene, 1,2,4-trimethyl-
27  	1,5-Cyclooctadiene	19,37	3302733,9	13,4	0,06	890	894	60,63	1,5-Cyclooctadiene, (E,Z)-	1,5-Cyclooctadiene, (Z,Z)-
28  	Benzene, 1-ethenyl-4-methyl-	20,01	1732719,0	7,0	0,03	644	758	14,10	Benzene, 1-propenyl-	Benzene, 1-ethenyl-2-methyl-
29  	Cyclohexanol, 4-methyl-, trans-	20,23	1771466,9	7,2	0,03	867	874	44,86	Cyclohexanol, 4-methyl-	Cyclohexanol, 4-methyl-, cis-
30  	Benzene, propyl-	20,42	2899972,4	11,8	0,05	925	928	76,13	1,3,5-Cycloheptatriene, 7-ethyl-	Benzeneacetaldehyde
31  	Benzene, 1-chloro-4-methyl-	20,68	109653015,8	445,6	2,06	882	931	52,87	Benzene, 1-chloro-3-methyl-	Benzene, 1-chloro-2-methyl-
32  	Benzaldehyde	20,86	5220438,9	21,2	0,10	930	933	74,23	Benzeneacetonitrile, a-hydroxy-	Phenylglyoxal
34  	Cyclohexane, 1-methyl-4-(1-methylethyl)-, cis-	21,76	46926901,4	190,7	0,88	952	952	47,88	1-Methyl-4-(1-methylethyl)-cyclohexane	Cyclohexane, 1-methyl-4-(1-methylethyl)-, trans-
35  	1,3-Dioxolane, 2-(chloromethyl)-4-methyl-	21,98	9155800,8	37,2	0,17	603	614	35,23	Butanoic acid, 4-(3-nitrophenoxy)-	Butanoic acid, 3-chloro-
36  	Cyclohexane, 1-methyl-4-(1-methylethyl)-, cis-	22,42	31795111,9	129,2	0,60	938	944	46,38	1-Methyl-4-(1-methylethyl)-cyclohexane	Cyclohexane, 1-methyl-4-(1-methylethyl)-, trans-
37  	Decane	22,64	6825589,5	27,7	0,13	916	921	29,89	Undecane	Nonane
38  	Octanal	22,76	2890786,5	11,7	0,05	812	854	70,99	2-Octen-1-ol, (E)-	Cyclohexanol, 2,4-dimethyl-
