No. 	Peak Name 	Retention Time	Amount 	Est. Amt.	Rel.Area 	SI 	RSI 	Prob 	Peak Name Hit 2	Peak Name Hit 3		
57  	Cyclohexanol, 1-methyl-4-(1-methylethyl)-, cis-	29,38	122,3	87,3	0,54	810	811	41,09	Cyclohexanol, 1-methyl-4-(1-methylethyl)-, trans-	Cyclohexanol, 1-methyl-4-(1-methylethyl)-
58  	Cyclohexanemethanol, a,a,4-trimethyl-	29,54	50,5	35,8	0,22	828	878	59,74	o-Menthan-8-ol	7-Octen-2-ol, 2,6-dimethyl-
61  	Cyclohexanol, 2-methyl-5-(1-methylethyl)-, (1a,2ß,5a)-	30,46	24,3	17,0	0,11	847	873	20,01	Cyclohexanol, 2-methyl-5-(1-methylethyl)-, (1a,2ß,5ß)-	Cyclohexanol, 2-methyl-5-(1-methylethyl)-
62  	Dodecane	30,54	16,8	11,7	0,07	882	894	23,54	Undecane	Tridecane
63  	2-Propenoic acid, 2-methyl-, cyclohexyl ester	30,78	115,0	82,1	0,51	837	839	67,71	2-Butenoic acid, cyclohexyl ester	Cyclopropanecarboxylic acid, cyclohexyl ester
64  	Ethanol, 2-phenoxy-	31,26	22,71	15,90	0,10	881	895	91,56	Carbamic acid, butylmethyl-, phenyl ester	Carbonic acid, ethyl phenyl ester
66  	1-Butanol, 4-butoxy-	32,21	754,94	541,15	3,35	767	771	29,54	Oxirane, 2,2'-[1,4-butanediylbis(oxymethylene)]bis-	3-Bromooctane
70  	Butane, 1,4-diethoxy-	33,02	93,70	66,83	0,41	741	789	58,45	Oxirane, 2,2'-[1,4-butanediylbis(oxymethylene)]bis-	1-Penten-3-ol, 2-methyl-
71  	Dodecane	33,68	17,04	11,83	0,07	899	906	18,69	Tetradecane	Pentadecane
72  	2-Propenoic acid, 2-methyl-, octyl ester	33,78	1424,51	1021,45	6,32	932	932	71,65	2-Ethylhexyl methacrylate	Octane, 4-chloro-
73  	4-Nonene, 5-nitro-	33,90	20,31	14,18	0,09	704	729	8,93	3-Decen-1-ol, (E)-	1,10-Decanediol
75  	Pyrrolidine, 1-(1-cyclohexen-1-yl)-	34,56	31,51	22,21	0,14	690	691	42,75	9-Borabicyclo[3.3.1]nonan-9-amine, N-methyl-	(Hexahydropyrrolizin-3-ylidene)-acetaldehyde
76  	15-Hydroxy-7-oxodehydroabietic acid, methyl ester, TMS derivative	35,23	22,50	15,75	0,10	594	671	34,85	Dodecanedioic acid, 2TBDMS derivative	N1,N1,N4-Tris(tert-butyldimethylsilyl)succinamide
77  	Cyclohexane, 1,1'-methylenebis-	35,98	19,99	13,95	0,09	852	861	39,45	Cyclohexane, 1,1'-(1,2-ethanediyl)bis-	Cyclohexanemethanol
78  	Pentadecane	36,16	12,87	8,84	0,05	879	884	10,48	Dodecane	Tetradecane
80  	Benzene, (cyclohexylmethyl)-	36,55	10,47	7,12	0,04	839	857	92,02	Benzene, (2-cyclohexylethyl)-	Benzeneacetic acid, cyclohexyl ester
83  	Undecanenitrile	37,95	21,44	14,99	0,09	681	827	32,43	Dodecanenitrile	Nonanenitrile
84  	Pentadecane	38,14	21,71	15,18	0,09	763	851	7,67	Hexadecane	Decane, 2-methyl-
85  	Butylated Hydroxytoluene	38,32	20,98	14,66	0,09	869	881	82,98	4,6-di-tert-Butyl-m-cresol	Phenol, 4,6-di(1,1-dimethylethyl)-2-methyl-
86  	5-Methyl-2-propyl-1,4,4a,5,6,7,8,8a-octahydroquinoline	39,47	12,50	8,58	0,05	697	739	27,41	(R,Z)-5-Methyl-6-((8R,8aS)-8-methylhexahydroindolizin-6(5H)-ylidene)hexan-2-one	1-Methyl-4(equat)ethynyl-trans-decahydroquinolin-4(axial)-ol
87  	Oxirane, 2,2'-[1,4-butanediylbis(oxymethylene)]bis-	39,64	2631,91	1887,56	11,67	913	913	87,96	3-Bromooctane	1-Butanol, 2-methyl-, propanoate
88  	Decane, 2-methyl-	39,78	40,53	28,68	0,18	794	869	11,92	Pentadecane	Hexadecane
89  	Benzene, (1-methylnonyl)-	39,90	11,48	7,85	0,05	657	714	23,15	Pentadecane, 2-phenyl-	Benzene, (1-methyldodecyl)-
