No. 	Peak Name 	Retention Time	Amount 	Est. Amt.	Rel.Area 	SI 	RSI 	Prob 	Peak Name Hit 2	Peak Name Hit 3	
1  	Acetone	5,22	48,2	34,6	0,02	853	906	57,94	Oxirane, methyl-, (S)-	Propylene oxide
2  	Acetic acid	6,17	204,1	147,7	0,09	819	903	71,13	Ammonium acetate	Hydrazine, ethyl-
3  	2-Butanone	6,33	49,3	35,3	0,02	922	962	91,65	2-Hexanone, 3,4-dimethyl-	5,9-Dodecadien-2-one, 6,10-dimethyl-, (E,E))-
4  	Propanoic acid, 2-hydroxy-, methyl ester, (±)-	6,57	60,4	43,4	0,03	794	813	34,08	Isopropyl Alcohol	L-Lactic acid
5  	2-Propanone, 1-hydroxy-	7,66	1175,7	852,4	0,52	896	896	77,92	Acetic acid, methyl ester	Acetic anhydride
7  	Methyl isobutyrate	8,28	67,4	48,5	0,03	876	885	91,18	Butanoic acid, methyl ester	Butyric acid hydrazide
8  	Furan, 2,5-dimethyl-	8,92	75,1	54,1	0,03	947	947	97,49	1H-Pyrazole, 1,3-dimethyl-	3,5-Dimethylpyrazole
9  	Methyl methacrylate	9,05	6017,9	4364,9	2,65	934	934	95,03	2-Propenoic acid, 2-methyl-, 3-hydroxypropyl ester	2-Propenoic acid, 2-methyl-, 2-hydroxypropyl ester
10  	Propanoic acid, 2-oxo-, methyl ester	9,61	118,0	85,2	0,05	957	957	94,53	Acetic anhydride	Hydrogen azide
11  	Propylene Glycol	10,05	56,9	40,9	0,02	929	935	80,29	R-(-)-1,2-propanediol	(S)-(+)-1,2-Propanediol
12  	Toluene-D8	11,06	106,9	106,9	0,06	0	0	0,00	Ethene, 2-chloro-1,1-difluoro-	1,4-Di(methyl-d3)benzene-d4
13  	Toluene	11,23	24,6	n.a.	0,01	n.a.	n.a.	n.a.	1,3,5-Cycloheptatriene	Spiro[2,4]hepta-4,6-diene
14  	2-Propenoic acid, 2-methyl-	12,72	1976,1	1433,0	0,87	773	805	30,82	2-Butenoic acid, (E)-	Crotonic acid
