No. 	Peak Name 	Retention Time	Amount 	Est. Amt.	Rel.Area 	SI 	RSI 	Prob 	Peak Name Hit 2	Peak Name Hit 3	
1  	Acetone	5,21	74,2	52,5	0,31	935	954	90,27	Butane	1-Propen-2-ol, acetate
4  	2-Butanone	6,31	684,5	487,7	2,86	929	954	90,46	2-Hexanone, 3,4-dimethyl-	2-Propen-1-ol, 2-methyl-, acetate
6  	Benzene	7,72	105,1	n.a.	0,38	n.a.	n.a.	n.a.	2,4-Hexadiyne	1,3-Hexadien-5-yne
7  	3-Buten-2-one, 3-methyl-	7,95	138,3	98,2	0,58	884	884	52,94	Ethanone, 1-cyclopropyl-	3-Penten-2-one, (E)-
8  	Methyl methacrylate	9,05	59,6	42,1	0,25	919	920	91,05	Cyclopropanecarboxylic acid, methyl ester	2-Propenoic acid, 2-methyl-, 3-hydroxypropyl ester
9  	Toluene-D8	11,06	106,9	106,9	0,63	0	0	0,00	1,4-Di(methyl-d3)benzene-d4	Ethene, 2-chloro-1,1-difluoro-
10  	Toluene	11,23	1209,5	n.a.	5,06	n.a.	n.a.	n.a.	1,3,5-Cycloheptatriene	Spiro[2,4]hepta-4,6-diene
11  	Propane, 1,3-dichloro-	12,00	144,2	102,5	0,60	956	957	93,96	1-Propene, 2-chloro-	Allyl chloride
12  	Cyclopentanone	12,19	29,9	21,0	0,12	941	942	81,95	2-Hexene	2-Hexene, (Z)-
13  	Cyclotrisiloxane, hexamethyl-	13,18	44,5	31,3	0,18	818	868	90,84	Arsenous acid, tris(trimethylsilyl) ester	1,4-Bis(trimethylsilyl)benzene
14  	Cyclohexene, 4-ethenyl-	14,32	636,9	453,8	2,66	905	905	57,26	1,5-Cyclooctadiene	Bicyclo(3.2.1)oct-2-ene
16  	Ethylbenzene	15,57	54,1	n.a.	0,25	n.a.	n.a.	n.a.	Benzene, 1,3-dimethyl-	o-Xylene
17  	Benzene, 1,3-dimethyl-	16,03	35,4	24,9	0,15	939	945	57,63	o-Xylene	p-Xylene
18  	Benzene, 1,3-dimethyl-	16,10	14,9	n.a.	0,06	n.a.	n.a.	n.a.	o-Xylene	p-Xylene
19  	Styrene	17,15	791,3	563,9	3,31	973	973	78,03	1,3,5,7-Cyclooctatetraene	Bicyclo[4.2.0]octa-1,3,5-triene
20  	Cyclohexanone	17,31	16,4	n.a.	0,06	n.a.	n.a.	n.a.	Cyclopentanone, 2-methyl-	Cyclopentanone, 3-methyl-
21  	3-Methylcyclopentyl acetate	17,58	28,4	19,9	0,12	761	801	71,68	Cyclopentanol, 2-methyl-, acetate, cis-	2-Hexanone, 3,4-dimethyl-
23  	1,5-Cyclooctadiene	19,37	14,2	9,7	0,06	885	900	64,64	1,5-Cyclooctadiene, (Z,Z)-	1,5-Cyclooctadiene, (E,Z)-
25  	Cyclohexanone, 4-methyl-	20,67	113,2	80,3	0,47	811	850	35,40	Cyclopentanone, 2,3-dimethyl-	2-Octene
26  	Benzaldehyde	20,86	19,2	13,3	0,08	925	929	80,40	Phenylglyoxal	ethanone, 2,2-dichloro-2-fluoro-1-phenyl-
27  	Cyclotetrasiloxane, octamethyl-	21,64	213,6	152,0	0,89	881	899	54,38	trisiloxane, 1,1,1,5,5,5-hexamethyl-3-[(trimethylsilyl)oxy]-	3-Ethoxy-1,1,1,5,5,5-hexamethyl-3-(trimethylsiloxy)trisiloxane
28  	Cyclohexane, 1-methyl-4-(1-methylethyl)-, cis-	21,76	146,7	104,2	0,61	950	950	51,06	1-Methyl-4-(1-methylethyl)-cyclohexane	Cyclohexane, 1-methyl-4-(1-methylethyl)-, trans-
29  	1,3-Dioxolane, 2-(chloromethyl)-4-methyl-	21,98	47,5	33,5	0,20	611	620	40,35	Butanoic acid, 3-chloro-	Butanoic acid, 4-(3-nitrophenoxy)-
30  	Cyclohexane, 1-methyl-4-(1-methylethyl)-, cis-	22,43	96,7	68,6	0,40	920	929	45,05	1-Methyl-4-(1-methylethyl)-cyclohexane	Cyclohexane, 1-methyl-4-(1-methylethyl)-, trans-
31  	Decane	22,64	26,4	18,4	0,11	902	907	20,72	Undecane	Nonane
33  	4-Cyanocyclohexene	23,53	1672,3	1192,1	6,99	917	917	84,69	Cyclohexen-1-carbonitrile	Cyclopentanecarbonitrile, 3-methylene-
34  	4-Cyanocyclohexene	23,58	7145,0	5094,8	29,89	903	903	79,77	Cyclohexen-1-carbonitrile	Cyclopentanecarbonitrile, 3-methylene-
35  	1-Hexanol, 2-ethyl-	23,89	41,1	28,9	0,17	866	893	60,15	2-Propyl-1-pentanol	2-Ethyl-1-hexanol
36  	Benzyl alcohol	24,22	3233,9	2305,8	13,53	959	959	78,50	L-Arginine, N2-[(phenylmethoxy)carbonyl]-	Phenol, 3-methyl-
38  	Acetophenone	25,64	17,7	12,2	0,07	901	910	56,20	Ethanone, 2,2-dihydroxy-1-phenyl-	Ethanone, 2-hydroxy-1-phenyl-
39  	Undecane	26,92	36,3	25,5	0,15	909	914	27,78	Tridecane	Dodecane
40  	Nonanal	27,08	26,2	18,3	0,11	890	897	66,61	2-Nonen-1-ol	2-Nonen-1-ol, (E)-
41  	1-Hepten-4-ol, 4-propyl-	27,54	18,2	12,6	0,07	590	661	9,92	1,3-Dioxepane, 2-methyl-2-propyl-	4-Heptanol, 4-propyl-
42  	Cyclopentasiloxane, decamethyl-	28,08	31,0	21,7	0,13	865	873	95,17	2,6-Dihydroxybenzoic acid, 3TMS derivative	2,5-Dihydroxybenzoic acid, 3TMS derivative
43  	Cyclohexanol, 1-methyl-4-(1-methylethyl)-, cis-	28,63	192,1	136,6	0,80	839	839	47,05	Cyclohexanol, 1-methyl-4-(1-methylethyl)-, trans-	dl-Menthol
44  	Cyclohexanemethanol, a,a,4-trimethyl-	28,95	113,8	80,7	0,47	876	880	60,12	o-Menthan-8-ol	Cyclohexanemethanol, a,a,4-trimethyl-, cis-
45  	Cyclohexanol, 4-methyl-1-(1-methylethyl)-	29,06	44,4	31,3	0,18	793	842	54,74	1-Ethyl-2-methylcyclohexanol	Cyclohexanol, 2-methyl-5-(1-methylethyl)-, (1a,2ß,5ß)-
47  	Cyclohexanol, 4-methyl-1-(1-methylethyl)-	29,33	21,8	15,2	0,09	814	852	72,33	1-Ethyl-2-methylcyclohexanol	Cyclohexanol, 2-methyl-5-(1-methylethyl)-, (1a,2ß,5ß)-
