No. 	Peak Name 	Retention Time	Amount 	Est. Amt.	Rel.Area 	SI 	RSI 	Prob 	Peak Name Hit 2	Peak Name Hit 3	
1  	Acetone	5,22	28,8	20,2	0,03	789	890	27,44	2-Propanone, 1-methoxy-	Ethanol, 2-methoxy-, acetate
3  	Benzene	7,72	18,2	n.a.	0,02	n.a.	n.a.	n.a.	1,3-Hexadien-5-yne	2,4-Hexadiyne
4  	Silanediol, dimethyl-	8,27	15,9	11,0	0,02	944	949	98,23	Propane, 2-chloro-2-nitro-	Trimethylsilyl fluoride
5  	Methyl methacrylate	9,05	62,0	44,0	0,07	939	939	93,75	Cyclopropanecarboxylic acid, methyl ester	2-Propenoic acid, 2-methyl-, 3-hydroxypropyl ester
6  	Disulfide, dimethyl	10,33	58,0	41,1	0,06	964	965	98,85	Dimethyl sulfone	Methanesulfonylacetic acid
7  	Toluene-D8	11,06	106,9	106,9	0,17	0	0	0,00	1,4-Di(methyl-d3)benzene-d4	Ethyl 1-methylpipecolinate
8  	2-Butenoic acid, (E)-	11,65	20,3	14,2	0,02	833	861	33,84	Crotonic acid	2-Propenoic acid, 2-methyl-
11  	Ethylbenzene	15,58	34,6	n.a.	0,04	n.a.	n.a.	n.a.	Benzene, 1,3-dimethyl-	o-Xylene
13  	Benzene, 1,3-dimethyl-	16,03	132,6	94,5	0,15	951	951	40,43	o-Xylene	p-Xylene
14  	Benzene, 1,3-dimethyl-	16,11	40,0	n.a.	0,05	n.a.	n.a.	n.a.	o-Xylene	p-Xylene
15  	Benzene, 1,3-dimethyl-	17,22	60,9	n.a.	0,08	n.a.	n.a.	n.a.	o-Xylene	p-Xylene
16  	Benzene, 1-ethyl-3-methyl-	20,80	15,9	11,0	0,02	910	911	28,78	Benzene, 1-ethyl-2-methyl-	Benzene, 1-ethyl-4-methyl-
17  	Benzaldehyde	20,86	91,5	65,1	0,10	932	936	75,29	Phenylglyoxal	Benzoyl bromide
18  	Cyclotrisiloxane, hexamethyl-	20,97	36,1	25,4	0,04	714	780	41,20	Arsenous acid, tris(trimethylsilyl) ester	Silane, triethyl(2-phenylethoxy)-
19  	Benzene, 1,2,4-trimethyl-	21,22	19,6	13,6	0,02	943	949	28,41	Benzene, 1,2,3-trimethyl-	Benzene, 1-ethyl-2-methyl-
21  	Cyclotetrasiloxane, octamethyl-	21,64	87,0	61,9	0,10	872	895	55,17	trisiloxane, 1,1,1,5,5,5-hexamethyl-3-[(trimethylsilyl)oxy]-	2,6-Dihydroxyacetophenone, 2TMS derivative
