No. 	Peak Name 	Retention Time	Amount 	Est. Amt.	Rel.Area 	SI 	RSI 	Prob 	Peak Name Hit 2	Peak Name Hit 3	
1  	Acetone	5,21	81,1	57,7	0,40	929	947	92,08	Oxirane, methyl-, (S)-	Butane
2  	2-Butanone	6,32	120,0	85,5	0,59	929	953	92,29	2-Hexanone, 3,4-dimethyl-	2-Propen-1-ol, 2-methyl-, acetate
4  	1-Butanol	7,72	18,0	n.a.	0,09	n.a.	n.a.	n.a.	Butane, 1-chloro-	2H-Pyran-2-one, tetrahydro-6,6-dimethyl-
5  	Methyl methacrylate	9,05	59,4	42,1	0,29	924	925	92,89	Cyclopropanecarboxylic acid, methyl ester	2-Butenoic acid, methyl ester, (E)-
6  	Toluene-D8	11,05	106,9	106,9	0,74	0	0	0,00	Ethene, 2-chloro-1,1-difluoro-	Cyclohexanecarboxylic acid, 1-amino-
7  	Toluene	11,22	40,3	n.a.	0,20	n.a.	n.a.	n.a.	1,3,5-Cycloheptatriene	Spiro[2,4]hepta-4,6-diene
9  	Cyclotrisiloxane, hexamethyl-	13,18	40,3	28,4	0,20	803	856	91,52	Arsenous acid, tris(trimethylsilyl) ester	1,4-Bis(trimethylsilyl)benzene
10  	Cyclohexene, 4-ethenyl-	14,32	73,7	52,3	0,36	920	921	66,32	1,5-Cyclooctadiene	Bicyclo(3.2.1)oct-2-ene
11  	Ethylbenzene	15,58	16,4	n.a.	0,08	n.a.	n.a.	n.a.	Benzene, 1,3-dimethyl-	o-Xylene
12  	Benzene, 1,3-dimethyl-	16,03	39,9	28,2	0,19	946	947	39,82	o-Xylene	p-Xylene
13  	Benzene, 1,3-dimethyl-	16,10	17,3	n.a.	0,09	n.a.	n.a.	n.a.	o-Xylene	p-Xylene
14  	3,4-Dimethylperhydro-1,3-oxazine	16,39	76,2	54,1	0,37	659	675	14,86	Morpholine, 2,6-dimethyl-, cis-	Oxazolidine, 2,4,4-trimethyl-
15  	Styrene	17,15	72,6	51,6	0,36	966	966	73,46	1,3,5,7-Cyclooctatetraene	Bicyclo[4.2.0]octa-1,3,5-triene
16  	Benzene, 1-chloro-4-methyl-	20,69	60,1	42,7	0,30	814	908	51,33	Benzene, 1-chloro-3-methyl-	Benzene, 1-chloro-2-methyl-
