No. 	Peak Name 	Retention Time	Amount 	Est. Amt.	Rel.Area 	SI 	RSI 	Prob 	Peak Name Hit 2	Peak Name Hit 3	
1  	Acetone	5,21	1563,8	1169,4	8,30	942	946	86,08	Oxirane, methyl-, (S)-	Propylene oxide
5  	n-Hexane	6,38	47,6	35,2	0,25	926	935	70,85	Pentane, 3-methyl-	2-Ethyl-oxetane
6  	Ethyl Acetate	6,61	276,7	206,5	1,47	938	938	92,07	CH3C(O)CH2CH2OH	Pentanoic acid, 3-methyl-4-oxo-
8  	Cyclopentane, methyl-	6,98	16,8	12,2	0,09	878	887	43,52	Cyclobutane, ethyl-	1-Pentene, 2-methyl-
9  	1-Butanol	7,70	457,7	n.a.	1,92	n.a.	n.a.	n.a.	Formic acid, butyl ester	2(3H)-Furanone, dihydro-3-methyl-
11  	Methyl methacrylate	9,05	83,1	61,7	0,44	931	932	94,43	Cyclopropanecarboxylic acid, methyl ester	2-Butenoic acid, methyl ester, (E)-
13  	Propylene Glycol	10,04	18,9	13,7	0,10	861	886	69,27	R-(-)-1,2-propanediol	(S)-(+)-1,2-Propanediol
14  	Toluene-D8	11,06	106,9	106,9	0,76	0	0	0,00	Cyclohexanecarboxylic acid, 1-amino-	Ethyl 1-methylpipecolinate
15  	Toluene	11,23	3091,2	n.a.	16,42	n.a.	n.a.	n.a.	1,3,5-Cycloheptatriene	Spiro[2,4]hepta-4,6-diene
17  	Acetic acid, butyl ester	13,16	600,5	448,8	3,19	940	952	93,67	Isobutyl acetate	Acetic acid, hexyl ester
19  	2-Propanol, 1-(2-propenyloxy)-	14,67	16,8	12,2	0,09	819	821	75,71	Ethanol, 2-[2-(2-propenyloxy)ethoxy]-	Ethanol, 2-(2-propenyloxy)-
20  	Ethylbenzene	15,58	303,1	n.a.	1,78	n.a.	n.a.	n.a.	Benzene, 1,3-dimethyl-	o-Xylene
21  	1-Methoxy-2-propyl acetate	15,69	18,3	13,3	0,09	798	901	81,54	2-Ethoxyethyl acetate	Ethanol, 2-(2-ethoxyethoxy)-, acetate
22  	Benzene, 1,3-dimethyl-	16,03	920,6	688,3	4,89	959	959	44,39	o-Xylene	p-Xylene
23  	Benzene, 1,3-dimethyl-	16,10	340,9	n.a.	2,05	n.a.	n.a.	n.a.	o-Xylene	p-Xylene
24  	Benzene, 1,3-dimethyl-	17,21	296,3	n.a.	1,74	n.a.	n.a.	n.a.	o-Xylene	p-Xylene
26  	Benzene, 1-chloro-4-methyl-	20,69	699,5	522,9	3,71	936	938	42,39	Benzene, 1-chloro-3-methyl-	Benzene, 1-chloro-2-methyl-
