File Path	chrom:TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	2026_04_2_1102
Injection Number	26
Position	136
Comment	Lord 8525 -- 7 Tage
Processing Method	VDA T-Ä Auswertung Logemann
Instrument Method	SDM
Type	Unknown
Status	Finished
Injection Date	4/3/2026
Injection Time	4:49:11 PM
Injection Volume (µl)	20.00
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	3.000722
Time Max. (min)	60.006800
Data Points	16762
Detector	ISQ
Generating Data System	Chromeleon 7.2.9 Build 11323 (300176)
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	428,779.391490
Signal Max.	6,424,765,800.182540
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406686

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
3.466675	0.2041	600,241.095237
3.470075	0.204	608,047.367690
3.473477	0.2041	612,580.119450
3.476878	0.2041	578,737.468883
3.480278	0.204	630,744.564386
3.483680	0.2041	667,776.567913
3.487082	0.2041	601,610.624731
3.490482	0.204	602,088.663368
3.493883	0.2041	611,954.910534
3.497285	0.2041	585,767.742958
3.500685	0.204	582,828.833583
3.504087	0.2041	609,096.056344
3.507488	0.2041	615,511.511009
3.510888	0.204	602,063.587146
3.514290	0.2041	608,952.217174
3.517692	0.2041	616,838.194289
3.521092	0.204	596,956.360058
3.524493	0.2041	579,170.902787
3.527895	0.2041	582,426.143247
3.531295	0.204	606,548.663651
3.534697	0.2041	639,084.714681
3.538098	0.2041	661,747.117664
3.541498	0.204	651,435.291555
3.544900	0.2041	583,784.672390
3.548302	0.2041	570,271.772415
3.551702	0.204	595,367.473284
3.555103	0.2041	579,356.623431
3.558505	0.2041	569,348.575440
3.561905	0.204	575,626.792294
3.565307	0.2041	584,643.913958
3.568708	0.2041	583,179.331736
3.572108	0.204	608,798.034634
3.575510	0.2041	581,150.951143
3.578912	0.2041	564,246.559058
3.582312	0.204	592,290.180357
3.585713	0.2041	597,174.398288
3.589115	0.2041	587,552.926994
3.592515	0.204	576,626.140792
3.595917	0.2041	626,533.190418
3.599318	0.2041	643,567.199376
3.602718	0.204	621,244.332612
3.606120	0.2041	591,622.885865
3.609522	0.2041	553,320.285189
3.612922	0.204	579,595.086649
3.616323	0.2041	629,080.707673
3.619725	0.2041	639,611.488159
3.623125	0.204	608,525.311570
3.626527	0.2041	617,213.152032
3.629928	0.2041	618,218.521797
3.633328	0.204	563,029.879122
3.636730	0.2041	579,411.278752
3.640132	0.2041	582,166.466188
3.643532	0.204	527,819.040102
3.646933	0.2041	540,601.876754
3.650335	0.2041	592,048.969210
3.653735	0.204	605,645.889688
3.657137	0.2041	609,251.271121
3.660538	0.2041	617,867.774199
3.663938	0.204	585,852.984186
3.667340	0.2041	547,665.012933
3.670742	0.2041	581,125.515008
3.674142	0.204	598,457.807480
3.677543	0.2041	574,060.323369
3.680945	0.2041	585,458.235939
3.684345	0.204	592,387.351060
3.687747	0.2041	601,595.400055
3.691148	0.2041	614,421.556417
3.694548	0.204	596,272.288802
3.697950	0.2041	582,571.939487
3.701352	0.2041	593,460.014602
3.704752	0.204	608,238.860198
3.708153	0.2041	592,178.572956
3.711555	0.2041	578,947.508794
3.714955	0.204	603,657.627881
3.718357	0.2041	633,918.174217
3.721758	0.2041	633,431.350809
3.725158	0.204	616,583.027877
3.728560	0.2041	607,559.484995
3.731962	0.2041	620,119.462311
3.735362	0.204	597,653.190071
3.738763	0.2041	586,117.657786
3.742165	0.2041	620,266.987507
3.745565	0.204	583,493.159796
3.748967	0.2041	540,306.002664
3.752368	0.2041	572,917.483128
3.755768	0.204	593,636.264114
3.759170	0.2041	592,628.321393
3.762572	0.2041	566,463.578302
3.765972	0.204	548,015.945292
3.769373	0.2041	575,027.390875
3.772775	0.2041	582,297.042393
3.776175	0.204	601,975.678023
3.779577	0.2041	610,749.055640
3.782978	0.2041	576,594.010742
3.786378	0.204	574,690.441120
3.789780	0.2041	589,803.694001
3.793182	0.2041	579,373.641404
3.796582	0.204	569,968.607851
3.799983	0.2041	584,557.488202
3.803385	0.2041	584,795.252904
3.806785	0.204	597,334.540836
3.810187	0.2041	595,972.012165
3.813588	0.2041	566,774.639010
3.816988	0.204	574,623.126657
3.820390	0.2041	590,299.197789
3.823792	0.2041	594,788.402123
3.827192	0.204	605,510.361081
3.830593	0.2041	614,915.680263
3.833995	0.2041	624,706.601781
3.837395	0.204	631,491.990030
3.840797	0.2041	619,610.603544
3.844198	0.2041	598,343.053219
3.847600	0.2041	597,520.223193
3.851000	0.204	571,133.965600
3.854402	0.2041	549,930.906414
3.857803	0.2041	603,134.765128
3.861203	0.204	617,329.517159
3.864605	0.2041	593,255.122854
3.868007	0.2041	601,658.146601
3.871407	0.204	580,724.326320
3.874808	0.2041	606,472.016284
3.878210	0.2041	657,394.345139
3.881610	0.204	616,634.777795
3.885012	0.2041	576,849.852904
3.888413	0.2041	606,705.568813
3.891813	0.204	610,548.900420
3.895215	0.2041	593,296.532206
3.898617	0.2041	625,410.475753
3.902017	0.204	639,832.587287
3.905418	0.2041	609,634.068265
3.908820	0.2041	580,727.470278
3.912220	0.204	585,438.514714
3.915622	0.2041	615,388.177507
3.919023	0.2041	609,281.440513
3.922423	0.204	609,273.194957
3.925825	0.2041	602,283.723223
3.929227	0.2041	582,620.942179
3.932627	0.204	614,091.092225
3.936028	0.2041	597,691.886279
3.939430	0.2041	563,074.922284
3.942830	0.204	550,912.636246
3.946232	0.2041	536,597.210648
3.949633	0.2041	579,547.465508
3.953033	0.204	587,268.451221
3.956435	0.2041	574,512.464597
3.959837	0.2041	577,551.070345
3.963237	0.204	588,391.807991
3.966638	0.2041	609,448.964929
3.970040	0.2041	591,032.638772
3.973440	0.204	589,582.125605
3.976842	0.2041	610,347.294729
3.980243	0.2041	611,715.576392
3.983643	0.204	581,741.120672
3.987045	0.2041	557,001.957241
3.990447	0.2041	578,923.589163
3.993847	0.204	592,890.260680
3.997248	0.2041	603,951.812355
4.000650	0.2041	620,762.497425
4.004050	0.204	589,493.998007
4.007452	0.2041	578,394.002063
4.010853	0.2041	588,833.913588
4.014253	0.204	593,963.863123
4.017655	0.2041	601,134.053022
4.021057	0.2041	574,624.828017
4.024457	0.204	571,999.840075
4.027858	0.2041	553,800.741349
4.031260	0.2041	551,826.882313
4.034660	0.204	582,749.768129
4.038062	0.2041	569,106.283735
4.041463	0.2041	573,659.255775
4.044863	0.204	613,093.455122
4.048265	0.2041	617,789.435770
4.051667	0.2041	566,943.314901
4.055067	0.204	549,417.775437
4.058468	0.2041	576,052.705923
4.061870	0.2041	593,656.078242
4.065270	0.204	575,762.252182
4.068672	0.2041	567,825.193591
4.072073	0.2041	599,372.127538
4.075473	0.204	600,109.251620
4.078875	0.2041	606,428.154843
4.082277	0.2041	603,415.348328
4.085677	0.204	595,688.126842
4.089078	0.2041	583,417.362049
4.092480	0.2041	568,213.252816
4.095880	0.204	585,742.250402
4.099282	0.2041	577,288.060094
4.102683	0.2041	572,101.624867
4.106083	0.204	592,614.722558
4.109485	0.2041	573,655.313847
4.112887	0.2041	539,360.642254
4.116287	0.204	565,507.163440
4.119688	0.2041	571,321.313224
4.123090	0.2041	562,819.113164
4.126490	0.204	589,662.746502
4.129892	0.2041	560,582.049593
4.133293	0.2041	527,094.003957
4.136693	0.204	534,060.624973
4.140095	0.2041	529,330.642721
4.143497	0.2041	507,101.081609
4.146897	0.204	495,116.925444
4.150298	0.2041	505,353.119210
4.153700	0.2041	507,699.300760
4.157100	0.204	478,481.851091
4.160502	0.2041	500,669.511132
4.163903	0.2041	528,053.908915
4.167303	0.204	479,742.093655
4.170705	0.2041	467,325.437940
4.174107	0.2041	458,884.149602
4.177507	0.204	443,871.788035
4.180908	0.2041	475,758.070778
4.184310	0.2041	460,638.672220
4.187710	0.204	440,576.079855
4.191112	0.2041	483,444.259205
4.194513	0.2041	489,282.404997
4.197913	0.204	488,336.583748
4.201315	0.2041	489,524.541104
4.204717	0.2041	448,136.975148
4.208117	0.204	467,786.807719
4.211518	0.2041	481,923.231683
4.214920	0.2041	448,399.593113
4.218320	0.204	469,000.499360
4.221722	0.2041	482,436.196425
4.225123	0.2041	450,518.809618
4.228523	0.204	428,779.391490
4.231925	0.2041	449,197.719732
4.235327	0.2041	482,127.500373
4.238727	0.204	508,551.011652
4.242128	0.2041	506,116.870347
4.245530	0.2041	449,286.819751
4.248930	0.204	469,685.248635
4.252332	0.2041	495,536.017298
4.255733	0.2041	451,697.876557
4.259133	0.204	468,462.809362
4.262535	0.2041	463,852.624064
4.265937	0.2041	453,363.948957
4.269337	0.204	459,449.125435
4.272738	0.2041	457,493.689643
4.276140	0.2041	481,245.310182
4.279540	0.204	455,197.881943
4.282942	0.2041	449,902.123439
4.286343	0.2041	478,884.810840
4.289743	0.204	489,786.722103
4.293145	0.2041	488,843.381820
4.296547	0.2041	488,299.130785
4.299947	0.204	522,558.896264
4.303348	0.2041	559,996.676866
4.306750	0.2041	614,688.049381
4.310150	0.204	653,253.900324
4.313552	0.2041	665,761.850669
4.316953	0.2041	717,496.456450
4.320353	0.204	785,511.306567
4.323755	0.2041	875,313.644302
4.327157	0.2041	943,600.579441
4.330557	0.204	1,003,574.452169
4.333958	0.2041	1,101,477.498475
4.337360	0.2041	1,121,182.565724
4.340760	0.204	1,113,492.406916
4.344162	0.2041	1,180,956.568339
4.347563	0.2041	1,221,375.359549
4.350963	0.204	1,173,071.909411
4.354365	0.2041	1,152,912.872546
4.357767	0.2041	1,222,624.491619
4.361167	0.204	1,255,187.141954
4.364568	0.2041	1,219,397.215198
4.367970	0.2041	1,178,997.397886
4.371370	0.204	1,124,340.682068
4.374772	0.2041	1,088,876.145799
4.378173	0.2041	1,065,751.172675
4.381573	0.204	994,472.100582
4.384975	0.2041	925,045.550350
4.388377	0.2041	888,070.290216
4.391777	0.204	851,080.292609
4.395178	0.2041	827,293.125549
4.398580	0.2041	824,131.270410
4.401980	0.204	834,712.158370
4.405382	0.2041	809,924.524423
4.408783	0.2041	768,494.578092
4.412183	0.204	772,704.474088
4.415585	0.2041	770,222.789171
4.418987	0.2041	771,222.862843
4.422387	0.204	803,186.199053
4.425788	0.2041	807,319.591917
4.429190	0.2041	786,218.925731
4.432590	0.204	774,678.237524
4.435992	0.2041	795,224.403989
4.439393	0.2041	865,770.733360
4.442793	0.204	868,353.982855
4.446195	0.2041	832,547.390087
4.449597	0.2041	897,313.541635
4.452997	0.204	896,513.672004
4.456398	0.2041	844,112.544762
4.459800	0.2041	844,854.705140
4.463200	0.204	823,059.416460
4.466602	0.2041	814,958.876282
4.470003	0.2041	795,718.135154
4.473403	0.204	805,407.251208
4.476805	0.2041	857,425.329941
4.480207	0.2041	857,162.763563
4.483607	0.204	844,127.643940
4.487008	0.2041	846,984.660480
4.490410	0.2041	891,421.334126
4.493810	0.204	881,327.455600
4.497212	0.2041	836,874.834044
4.500613	0.2041	868,870.443291
4.504013	0.204	925,130.957550
4.507415	0.2041	908,217.206402
4.510817	0.2041	852,439.074311
4.514217	0.204	905,025.619852
4.517618	0.2041	952,498.761780
4.521020	0.2041	945,208.440470
4.524420	0.204	966,911.950047
4.527822	0.2041	951,877.258379
4.531223	0.2041	959,193.641131
4.534623	0.204	1,017,557.675769
4.538025	0.2041	1,032,052.457635
4.541427	0.2041	1,020,303.333016
4.544827	0.204	1,042,924.941001
4.548228	0.2041	1,076,503.808183
4.551630	0.2041	1,108,077.369126
4.555030	0.204	1,142,358.239418
4.558432	0.2041	1,163,135.902206
4.561833	0.2041	1,206,726.745808
