File Path	chrom:TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	2026_04_2_1101
Injection Number	2
Position	112
Comment	3M DP6330 -- 7 Tage
Processing Method	VDA T-Ä Auswertung Logemann
Instrument Method	SDM
Type	Unknown
Status	Finished
Injection Date	4/2/2026
Injection Time	2:37:40 PM
Injection Volume (µl)	20.00
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	3.000705
Time Max. (min)	60.006783
Data Points	16762
Detector	ISQ
Generating Data System	Chromeleon 7.2.9 Build 11323 (300176)
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	505,933.884412
Signal Max.	1,974,547,537.296650
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406686

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
3.466657	0.204	811,146.994470
3.470058	0.2041	785,528.644018
3.473460	0.2041	803,043.637885
3.476860	0.204	828,271.644114
3.480262	0.2041	859,284.721087
3.483663	0.2041	851,216.877930
3.487063	0.204	840,528.452043
3.490465	0.2041	773,424.079025
3.493867	0.2041	764,988.255871
3.497267	0.204	790,439.883389
3.500668	0.2041	800,097.681277
3.504070	0.2041	839,589.976911
3.507470	0.204	809,307.140061
3.510872	0.2041	792,030.628618
3.514273	0.2041	801,581.251353
3.517673	0.204	759,443.471559
3.521075	0.2041	778,062.331487
3.524477	0.2041	861,868.190716
3.527877	0.204	834,143.856210
3.531278	0.2041	780,909.018293
3.534680	0.2041	808,117.689070
3.538080	0.204	776,597.039062
3.541482	0.2041	742,673.581989
3.544883	0.2041	772,108.495716
3.548285	0.2041	760,704.103878
3.551685	0.204	737,722.184393
3.555087	0.2041	746,321.091344
3.558488	0.2041	733,289.488348
3.561888	0.204	758,654.663975
3.565290	0.2041	812,701.622927
3.568692	0.2041	789,984.295619
3.572092	0.204	786,147.882843
3.575493	0.2041	796,809.790515
3.578895	0.2041	766,261.421107
3.582295	0.204	760,527.154496
3.585697	0.2041	798,630.624449
3.589098	0.2041	864,467.723108
3.592498	0.204	859,475.172520
3.595900	0.2041	811,682.679506
3.599302	0.2041	835,283.969920
3.602702	0.204	835,729.087462
3.606103	0.2041	789,175.312253
3.609505	0.2041	771,884.860939
3.612905	0.204	756,444.068732
3.616307	0.2041	796,850.696922
3.619708	0.2041	851,698.476252
3.623108	0.204	805,059.607002
3.626510	0.2041	779,509.912371
3.629912	0.2041	794,088.243244
3.633312	0.204	771,162.540217
3.636713	0.2041	759,525.091601
3.640115	0.2041	791,926.968616
3.643515	0.204	799,934.921825
3.646917	0.2041	795,485.209666
3.650318	0.2041	820,442.098150
3.653718	0.204	784,419.262243
3.657120	0.2041	761,105.196039
3.660522	0.2041	789,422.117097
3.663922	0.204	785,781.691295
3.667323	0.2041	788,924.368438
3.670725	0.2041	797,384.192982
3.674125	0.204	806,133.922462
3.677527	0.2041	846,314.350895
3.680928	0.2041	836,588.478172
3.684328	0.204	799,606.584127
3.687730	0.2041	815,830.534791
3.691132	0.2041	821,789.738946
3.694532	0.204	787,539.923915
3.697933	0.2041	771,337.219113
3.701335	0.2041	783,651.152619
3.704735	0.204	800,993.428624
3.708137	0.2041	780,843.331046
3.711538	0.2041	752,194.311823
3.714938	0.204	779,626.789645
3.718340	0.2041	769,692.931500
3.721742	0.2041	745,238.388178
3.725142	0.204	756,029.556917
3.728543	0.2041	738,222.051006
