File Path	chrom:TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	2026_04_2_9717
Injection Number	20
Position	130
Comment	Betaforce 9075L -- 7 Tage
Processing Method	VDA T-Ä Auswertung Logemann
Instrument Method	SDM
Type	Unknown
Status	Finished
Injection Date	4/3/2026
Injection Time	10:16:03 AM
Injection Volume (µl)	20.00
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	3.000510
Time Max. (min)	59.999785
Data Points	16760
Detector	ISQ
Generating Data System	Chromeleon 7.2.9 Build 11323 (300176)
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	413,974.755598
Signal Max.	6,996,324,128.399330
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406686

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
3.466462	0.204	647,039.594929
3.469863	0.2041	644,867.431719
3.473265	0.2041	659,271.596396
3.476665	0.204	670,639.638071
3.480067	0.2041	685,862.613333
3.483468	0.2041	672,568.432165
3.486868	0.204	644,526.218751
3.490270	0.2041	638,419.979598
3.493672	0.2041	654,822.074522
3.497072	0.204	665,244.688366
3.500473	0.2041	656,460.603790
3.503875	0.2041	653,458.913728
3.507277	0.2041	640,408.269862
3.510677	0.204	655,688.901299
3.514078	0.2041	672,350.615023
3.517480	0.2041	620,248.384754
3.520880	0.204	592,915.575599
3.524282	0.2041	622,470.504750
3.527683	0.2041	627,957.802812
3.531083	0.204	645,947.577270
3.534485	0.2041	651,749.434492
3.537887	0.2041	623,789.537403
3.541287	0.204	640,156.436848
3.544688	0.2041	667,308.374935
3.548090	0.2041	658,868.157551
3.551490	0.204	631,380.643622
3.554892	0.2041	633,286.686888
3.558293	0.2041	666,187.956169
3.561693	0.204	673,317.861428
3.565095	0.2041	652,284.526433
3.568497	0.2041	637,140.744251
3.571897	0.204	630,825.218342
3.575298	0.2041	611,226.387049
3.578700	0.2041	603,952.531838
3.582100	0.204	639,878.120366
3.585502	0.2041	663,287.334240
3.588903	0.2041	656,388.744070
3.592303	0.204	640,376.778204
3.595705	0.2041	634,619.855898
3.599107	0.2041	632,180.443461
3.602507	0.204	633,212.212951
3.605908	0.2041	660,444.884734
3.609310	0.2041	665,535.744572
3.612710	0.204	639,344.385850
3.616112	0.2041	638,783.452135
3.619513	0.2041	647,003.217861
3.622913	0.204	628,460.005842
3.626315	0.2041	628,521.457763
3.629717	0.2041	658,815.238652
3.633117	0.204	644,720.737430
3.636518	0.2041	627,492.989230
3.639920	0.2041	636,975.228942
3.643320	0.204	639,844.922809
3.646722	0.2041	642,809.986897
3.650123	0.2041	641,860.057790
3.653523	0.204	649,048.724178
3.656925	0.2041	688,752.370679
3.660327	0.2041	683,627.810071
3.663727	0.204	655,523.811833
3.667128	0.2041	668,866.183880
3.670530	0.2041	653,634.263918
3.673930	0.204	632,264.083112
3.677332	0.2041	637,785.564452
3.680733	0.2041	642,942.854556
3.684133	0.204	655,939.757469
3.687535	0.2041	658,496.018310
3.690937	0.2041	623,436.036749
3.694337	0.204	631,996.226124
3.697738	0.2041	669,958.974731
3.701140	0.2041	654,714.258667
3.704540	0.204	652,984.458674
3.707942	0.2041	652,034.788957
3.711343	0.2041	617,564.099016
3.714743	0.204	621,913.008159
3.718145	0.2041	632,566.687421
3.721547	0.2041	624,432.334095
3.724947	0.204	645,707.933379
3.728348	0.2041	672,219.908363
3.731750	0.2041	675,702.848390
3.735150	0.204	677,898.065830
3.738552	0.2041	652,814.137577
3.741953	0.2041	634,022.395842
3.745353	0.204	634,391.630612
3.748755	0.2041	605,079.877719
3.752157	0.2041	575,616.934772
3.755557	0.204	582,643.522898
3.758958	0.2041	578,378.127204
3.762360	0.2041	568,733.738821
3.765760	0.204	623,002.229987
3.769162	0.2041	669,280.986633
3.772563	0.2041	655,619.349387
3.775963	0.204	629,497.957628
3.779365	0.2041	646,579.337251
3.782767	0.2041	679,258.787181
3.786167	0.204	649,302.483151
3.789568	0.2041	620,196.973737
3.792970	0.2041	645,728.730598
3.796370	0.204	646,612.865536
3.799772	0.2041	648,844.734583
3.803173	0.2041	639,876.539604
3.806573	0.204	614,447.055788
3.809975	0.2041	609,787.938339
3.813377	0.2041	620,325.001354
3.816777	0.204	641,877.656923
3.820178	0.2041	647,382.940098
3.823580	0.2041	638,353.634127
3.826980	0.204	640,081.326902
3.830382	0.2041	680,527.395097
3.833783	0.2041	672,619.658291
3.837183	0.204	624,659.279760
3.840585	0.2041	628,590.059825
3.843987	0.2041	647,786.745618
3.847387	0.204	642,838.165551
3.850788	0.2041	632,828.970402
3.854190	0.2041	637,595.698583
3.857590	0.204	642,701.197845
3.860992	0.2041	631,873.811539
3.864393	0.2041	599,794.611528
3.867793	0.204	595,170.819848
3.871195	0.2041	620,255.464903
3.874597	0.2041	624,337.682083
3.877997	0.204	614,920.394129
3.881398	0.2041	638,943.148988
3.884800	0.2041	664,077.276353
3.888200	0.204	666,692.279017
3.891602	0.2041	638,985.091553
3.895003	0.2041	621,745.779112
3.898403	0.204	627,291.037607
3.901805	0.2041	619,421.361419
3.905207	0.2041	632,084.680736
3.908607	0.204	627,589.387861
3.912008	0.2041	612,964.801829
3.915410	0.2041	612,928.780449
3.918810	0.204	633,864.750462
3.922212	0.2041	650,103.567887
3.925613	0.2041	629,287.675598
3.929013	0.204	627,077.192912
3.932415	0.2041	625,908.835418
3.935817	0.2041	622,645.605443
3.939217	0.204	641,586.850462
3.942618	0.2041	624,817.658374
3.946020	0.2041	607,953.262907
3.949420	0.204	640,303.706167
3.952822	0.2041	644,137.885075
3.956223	0.2041	627,428.776788
3.959623	0.204	666,621.360622
3.963025	0.2041	699,786.317760
3.966427	0.2041	678,413.156552
3.969827	0.204	637,980.714326
3.973228	0.2041	612,198.617123
3.976630	0.2041	598,792.143826
3.980030	0.204	595,158.221301
3.983432	0.2041	608,418.000542
3.986833	0.2041	617,806.988660
3.990233	0.204	606,673.120577
3.993635	0.2041	615,334.229987
3.997037	0.2041	632,044.677140
4.000437	0.204	635,027.550306
4.003838	0.2041	640,465.809014
4.007240	0.2041	646,896.283739
4.010640	0.204	619,297.197722
4.014042	0.2041	626,865.486551
4.017443	0.2041	685,325.746509
4.020843	0.204	667,354.706617
4.024245	0.2041	638,887.477593
4.027647	0.2041	638,721.140985
4.031047	0.204	616,839.056650
4.034448	0.2041	629,926.398924
4.037850	0.2041	627,568.982537
4.041250	0.204	590,636.178059
4.044652	0.2041	592,272.192859
4.048053	0.2041	596,760.015563
4.051453	0.204	603,008.132201
4.054855	0.2041	618,734.269349
4.058257	0.2041	594,622.910371
4.061657	0.204	610,942.002153
4.065058	0.2041	679,124.929311
4.068460	0.2041	681,705.083469
4.071860	0.204	693,154.094125
4.075262	0.2041	659,245.821444
4.078663	0.2041	615,456.515642
4.082063	0.204	647,924.189808
4.085465	0.2041	639,840.947552
4.088867	0.2041	616,408.202938
4.092267	0.204	611,430.127478
4.095668	0.2041	634,675.952036
4.099070	0.2041	645,764.020317
4.102470	0.204	623,809.325589
4.105872	0.2041	635,511.142397
4.109273	0.2041	629,852.663056
4.112673	0.204	613,286.941365
4.116075	0.2041	608,873.215211
4.119477	0.2041	597,890.406046
4.122878	0.2041	611,565.452295
4.126278	0.204	587,253.463711
4.129680	0.2041	562,217.795541
4.133082	0.2041	595,699.082421
4.136482	0.204	579,346.898206
4.139883	0.2041	562,615.381434
4.143285	0.2041	563,306.344310
4.146685	0.204	514,616.267936
4.150087	0.2041	514,383.857932
4.153488	0.2041	534,031.138426
4.156888	0.204	522,616.016259
4.160290	0.2041	525,259.369055
4.163692	0.2041	540,929.366616
4.167092	0.204	534,678.804578
4.170493	0.2041	493,053.508530
4.173895	0.2041	498,274.840853
4.177295	0.204	507,984.222552
4.180697	0.2041	482,875.037320
4.184098	0.2041	483,985.802052
4.187498	0.204	488,242.070555
4.190900	0.2041	497,138.636664
4.194302	0.2041	510,291.261903
4.197702	0.204	547,540.576644
4.201103	0.2041	571,123.818264
4.204505	0.2041	504,325.204099
4.207905	0.204	483,755.215580
4.211307	0.2041	492,385.387554
4.214708	0.2041	466,205.458335
4.218108	0.204	492,212.769022
4.221510	0.2041	481,901.511050
4.224912	0.2041	481,717.016299
4.228312	0.204	531,293.514160
4.231713	0.2041	523,214.939495
4.235115	0.2041	517,282.954004
4.238515	0.204	497,010.366905
4.241917	0.2041	488,931.119827
4.245318	0.2041	511,915.664669
4.248718	0.204	530,213.515395
4.252120	0.2041	546,844.163614
4.255522	0.2041	509,330.538381
4.258922	0.204	463,416.475413
4.262323	0.2041	483,640.848826
4.265725	0.2041	503,918.489490
4.269125	0.204	510,949.980645
4.272527	0.2041	479,807.660866
4.275928	0.2041	479,464.314929
4.279328	0.204	524,336.610526
4.282730	0.2041	519,174.857477
4.286132	0.2041	563,112.264027
4.289532	0.204	571,607.223721
4.292933	0.2041	507,414.805726
4.296335	0.2041	530,474.803085
4.299735	0.204	580,514.249048
4.303137	0.2041	616,342.821902
4.306538	0.2041	667,044.562942
4.309938	0.204	699,085.571963
4.313340	0.2041	759,800.579963
4.316742	0.2041	837,092.977236
4.320142	0.204	882,722.517847
4.323543	0.2041	964,804.255010
4.326945	0.2041	1,038,594.880749
4.330345	0.204	1,052,129.353549
4.333747	0.2041	1,108,075.796636
4.337148	0.2041	1,173,308.953976
4.340548	0.204	1,240,164.615094
4.343950	0.2041	1,267,999.068486
4.347352	0.2041	1,198,787.443015
4.350752	0.204	1,189,485.833727
4.354153	0.2041	1,218,832.551997
4.357555	0.2041	1,208,823.412077
4.360955	0.204	1,206,033.104595
4.364357	0.2041	1,224,254.230168
4.367758	0.2041	1,217,305.901030
4.371158	0.204	1,199,052.378389
4.374560	0.2041	1,207,867.311454
4.377962	0.2041	1,149,223.395019
4.381362	0.204	1,053,825.027784
4.384763	0.2041	1,030,539.359801
4.388165	0.2041	977,470.207330
4.391565	0.204	917,904.499579
4.394967	0.2041	918,090.653617
4.398368	0.2041	907,193.495086
4.401768	0.204	887,742.575068
4.405170	0.2041	854,479.950433
4.408572	0.2041	799,072.862605
4.411972	0.204	819,054.990417
4.415373	0.2041	864,866.018290
4.418775	0.2041	843,437.938390
4.422175	0.204	842,460.060718
4.425577	0.2041	861,645.682525
4.428978	0.2041	860,107.201379
4.432378	0.204	908,455.692888
4.435780	0.2041	932,105.363714
4.439182	0.2041	898,685.974275
4.442582	0.204	906,802.239295
4.445983	0.2041	881,216.173994
4.449385	0.2041	892,808.923204
4.452785	0.204	944,773.151909
4.456187	0.2041	916,637.349380
4.459588	0.2041	902,624.956181
4.462988	0.204	946,454.136507
4.466390	0.2041	945,157.318640
4.469792	0.2041	933,680.297132
4.473192	0.204	897,090.886493
4.476593	0.2041	878,522.836069
