File Path	chrom:TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	2026_04_17_9738
Injection Number	38
Position	148
Comment	3M PN7444 -- 28 Tage
Processing Method	VDA T-Ä Auswertung Logemann
Instrument Method	SDM
Type	Unknown
Status	Finished
Injection Date	4/17/2026
Injection Time	9:00:48 PM
Injection Volume (µl)	20.00
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	3.002335
Time Max. (min)	60.001645
Data Points	16760
Detector	ISQ
Generating Data System	Chromeleon 7.2.9 Build 11323 (300176)
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	2,353,989.479998
Signal Max.	5,350,993,072.447250
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406698

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
3.417272	0.2041	3,088,479.916753
3.420672	0.204	3,073,398.191166
3.424073	0.2041	3,099,262.943346
3.427475	0.2041	3,051,174.294736
3.430875	0.204	3,141,712.249616
3.434277	0.2041	3,141,302.442608
3.437678	0.2041	3,066,595.581394
3.441078	0.204	3,112,780.428482
3.444480	0.2041	3,124,094.148506
3.447882	0.2041	3,190,654.364808
3.451282	0.204	3,228,443.918230
3.454683	0.2041	3,224,396.199864
3.458085	0.2041	3,239,258.828373
3.461485	0.204	3,167,279.140493
3.464887	0.2041	3,034,278.726770
3.468288	0.2041	3,013,410.691529
3.471688	0.204	3,136,145.015842
3.475090	0.2041	3,131,384.489351
3.478492	0.2041	2,997,728.090785
3.481892	0.204	3,085,820.082671
3.485293	0.2041	3,219,650.858186
3.488695	0.2041	3,175,728.538215
3.492095	0.204	3,139,996.835352
3.495497	0.2041	3,056,431.899940
3.498898	0.2041	3,155,036.901746
3.502298	0.204	3,228,550.164616
3.505700	0.2041	3,052,836.232776
3.509102	0.2041	3,067,738.851978
3.512502	0.204	3,226,166.923531
3.515903	0.2041	3,270,713.490895
3.519305	0.2041	3,135,244.333521
3.522705	0.204	3,020,284.827637
3.526107	0.2041	3,097,199.921850
3.529508	0.2041	3,119,266.063081
3.532908	0.204	3,106,187.784728
3.536310	0.2041	3,083,953.099537
3.539712	0.2041	3,010,244.084799
3.543112	0.204	3,020,050.096965
3.546513	0.2041	3,120,801.371049
3.549915	0.2041	3,132,307.215055
3.553315	0.204	3,009,288.335730
3.556717	0.2041	3,020,764.262689
3.560118	0.2041	3,052,394.495335
3.563518	0.204	3,131,676.579587
3.566920	0.2041	3,142,214.596174
3.570322	0.2041	3,076,128.488606
3.573722	0.204	3,097,084.652821
3.577123	0.2041	3,054,471.625350
3.580525	0.2041	2,971,043.458294
3.583925	0.204	2,923,135.699847
3.587327	0.2041	3,023,017.313965
3.590728	0.2041	3,033,308.907311
3.594128	0.204	3,094,949.481749
3.597530	0.2041	3,193,737.155602
3.600932	0.2041	3,171,757.250446
3.604332	0.204	3,139,282.293283
3.607733	0.2041	3,068,339.506525
3.611135	0.2041	3,065,813.668057
3.614535	0.204	3,021,428.942072
3.617937	0.2041	3,113,122.752871
3.621338	0.2041	3,178,094.603054
3.624738	0.204	2,954,728.766594
3.628140	0.2041	2,902,323.926758
3.631542	0.2041	3,097,159.672199
3.634942	0.204	3,115,993.208808
3.638343	0.2041	2,992,852.183478
3.641745	0.2041	3,023,509.133775
3.645145	0.204	3,078,165.816374
3.648547	0.2041	3,093,262.100232
3.651948	0.2041	3,075,905.326152
3.655348	0.204	3,071,163.196244
3.658750	0.2041	3,129,406.277206
3.662152	0.2041	3,092,862.147440
3.665552	0.204	3,068,417.288990
3.668953	0.2041	3,057,420.663201
3.672355	0.2041	3,083,768.198293
3.675755	0.204	3,144,121.832660
3.679157	0.2041	3,086,349.710065
3.682558	0.2041	3,077,407.492638
3.685958	0.204	3,088,846.783363
3.689360	0.2041	3,082,154.362200
3.692762	0.2041	3,128,786.386665
3.696162	0.204	3,092,809.936740
3.699563	0.2041	2,986,105.001088
3.702965	0.2041	2,982,052.899890
3.706365	0.204	2,998,791.860330
3.709767	0.2041	2,996,187.188509
3.713168	0.2041	3,076,534.421915
3.716570	0.2041	3,141,762.000534
3.719970	0.204	3,118,517.813985
3.723372	0.2041	3,091,438.856167
3.726773	0.2041	2,998,480.441474
3.730173	0.204	3,009,076.187197
3.733575	0.2041	3,075,818.124486
3.736977	0.2041	3,034,682.586275
3.740377	0.204	3,048,735.587562
3.743778	0.2041	3,138,067.604582
3.747180	0.2041	3,172,889.392917
3.750580	0.204	3,074,543.322891
3.753982	0.2041	2,990,059.304953
3.757383	0.2041	2,953,539.290777
3.760783	0.204	2,901,591.433629
3.764185	0.2041	2,973,141.575822
3.767587	0.2041	3,073,454.349135
3.770987	0.204	3,053,416.497905
3.774388	0.2041	3,078,450.997026
3.777790	0.2041	3,068,488.936164
3.781190	0.204	3,039,768.176774
3.784592	0.2041	3,153,234.723379
3.787993	0.2041	3,135,741.928978
3.791393	0.204	3,057,966.200623
3.794795	0.2041	3,063,502.489502
3.798197	0.2041	3,014,978.842467
3.801597	0.204	2,981,843.139239
3.804998	0.2041	2,925,815.849637
3.808400	0.2041	2,947,430.763727
3.811800	0.204	3,091,301.980908
3.815202	0.2041	3,022,935.494539
3.818603	0.2041	2,928,495.635850
3.822003	0.204	3,064,466.954275
3.825405	0.2041	3,043,308.068127
3.828807	0.2041	3,015,318.082623
3.832207	0.204	3,114,011.475383
3.835608	0.2041	3,051,278.349342
3.839010	0.2041	2,923,150.790778
3.842410	0.204	2,894,601.889649
3.845812	0.2041	3,008,467.400216
3.849213	0.2041	3,158,510.090849
3.852613	0.204	3,010,039.591883
3.856015	0.2041	2,859,096.531777
3.859417	0.2041	2,988,405.001700
3.862817	0.204	3,071,930.267957
3.866218	0.2041	3,048,073.727315
3.869620	0.2041	3,043,973.681549
3.873020	0.204	3,109,551.653047
3.876422	0.2041	3,113,483.602847
3.879823	0.2041	3,001,996.601380
3.883223	0.204	2,947,773.676869
3.886625	0.2041	3,007,068.159033
3.890027	0.2041	3,018,820.094839
3.893427	0.204	3,032,571.073678
3.896828	0.2041	3,006,499.830497
3.900230	0.2041	2,966,434.950721
3.903630	0.204	2,943,172.812307
3.907032	0.2041	2,933,217.449337
3.910433	0.2041	2,950,263.736862
3.913833	0.204	2,894,217.298739
3.917235	0.2041	2,942,264.877632
3.920637	0.2041	2,987,813.630344
3.924037	0.204	2,891,589.195681
3.927438	0.2041	2,847,164.606474
3.930840	0.2041	2,949,363.319585
3.934240	0.204	3,042,559.886135
3.937642	0.2041	3,003,584.176518
3.941043	0.2041	3,001,870.384582
3.944443	0.204	3,134,863.113627
3.947845	0.2041	3,036,367.251589
3.951247	0.2041	2,862,566.814784
3.954647	0.204	2,994,589.364530
3.958048	0.2041	3,025,219.036403
3.961450	0.2041	2,964,857.374956
3.964850	0.204	3,048,662.221391
3.968252	0.2041	3,041,250.859085
3.971653	0.2041	2,985,434.566429
3.975053	0.204	3,067,499.396057
3.978455	0.2041	3,122,268.534788
3.981857	0.2041	3,057,158.142241
3.985257	0.204	2,909,178.676069
3.988658	0.2041	2,860,855.488136
3.992060	0.2041	2,943,425.480083
3.995460	0.204	3,031,018.149824
3.998862	0.2041	3,050,451.089598
4.002263	0.2041	3,031,691.529597
4.005663	0.204	3,080,204.231813
4.009065	0.2041	3,041,639.222803
4.012467	0.2041	2,990,409.940584
4.015867	0.204	2,944,693.233722
4.019268	0.2041	2,998,442.243153
4.022670	0.2041	3,058,939.414693
4.026070	0.204	2,942,338.761405
4.029472	0.2041	2,976,911.789522
4.032873	0.2041	3,055,403.291224
4.036273	0.204	2,937,865.517080
