File Path	chrom:TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	2026_04_17_1125
Injection Number	44
Position	154
Comment	Betaforce 9075L -- 28 Tage
Processing Method	VDA T-Ä Auswertung Logemann
Instrument Method	SDM
Type	Unknown
Status	Finished
Injection Date	4/18/2026
Injection Time	3:37:04 AM
Injection Volume (µl)	20.00
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	3.001017
Time Max. (min)	60.000327
Data Points	16760
Detector	ISQ
Generating Data System	Chromeleon 7.2.9 Build 11323 (300176)
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	1,707,992.916662
Signal Max.	11,291,955,169.814200
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406698

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
3.415952	0.204	2,387,975.867269
3.419353	0.2041	2,447,865.504427
3.422755	0.2041	2,452,545.144035
3.426155	0.204	2,363,460.822486
3.429557	0.2041	2,422,342.387741
3.432958	0.2041	2,493,934.125419
3.436358	0.204	2,395,484.134468
3.439760	0.2041	2,373,958.368407
3.443162	0.2041	2,444,125.640503
3.446562	0.204	2,443,336.299574
3.449963	0.2041	2,488,898.246441
3.453365	0.2041	2,468,328.439639
3.456765	0.204	2,438,463.621568
3.460167	0.2041	2,455,968.137991
3.463568	0.2041	2,393,378.453943
3.466968	0.204	2,371,261.749008
3.470370	0.2041	2,377,507.298315
3.473772	0.2041	2,422,657.913811
3.477172	0.204	2,404,070.984750
3.480573	0.2041	2,342,036.256074
3.483975	0.2041	2,533,189.242052
3.487375	0.204	2,577,136.227250
3.490777	0.2041	2,419,302.908972
3.494178	0.2041	2,392,536.663605
3.497578	0.204	2,484,356.116135
3.500980	0.2041	2,433,462.330990
3.504382	0.2041	2,359,255.232496
3.507782	0.204	2,445,249.736362
3.511183	0.2041	2,398,400.388233
3.514585	0.2041	2,365,177.373805
3.517985	0.204	2,499,614.118667
3.521387	0.2041	2,516,043.417292
3.524788	0.2041	2,356,893.085152
3.528188	0.204	2,328,428.210286
3.531590	0.2041	2,351,660.698456
3.534992	0.2041	2,423,406.990219
3.538392	0.204	2,362,497.388867
3.541793	0.2041	2,309,329.672155
3.545195	0.2041	2,409,612.942052
3.548595	0.204	2,331,467.356354
3.551997	0.2041	2,313,623.365015
3.555398	0.2041	2,379,949.099530
3.558798	0.204	2,417,512.488137
3.562200	0.2041	2,376,399.530588
3.565602	0.2041	2,326,565.031231
3.569002	0.204	2,421,986.641733
3.572403	0.2041	2,447,708.944921
3.575805	0.2041	2,345,569.983809
3.579205	0.204	2,336,650.016675
3.582607	0.2041	2,333,289.157204
3.586008	0.2041	2,357,900.913108
3.589408	0.204	2,381,696.938310
3.592810	0.2041	2,305,945.054796
3.596212	0.2041	2,312,862.971006
3.599613	0.2041	2,290,614.994989
3.603013	0.204	2,302,357.067237
3.606415	0.2041	2,459,759.008452
3.609817	0.2041	2,466,087.520406
3.613217	0.204	2,351,592.263476
3.616618	0.2041	2,353,532.600838
3.620020	0.2041	2,347,000.405893
3.623420	0.204	2,331,043.082595
3.626822	0.2041	2,349,239.592876
3.630223	0.2041	2,352,163.959827
3.633623	0.204	2,415,015.436065
3.637025	0.2041	2,430,934.564498
3.640427	0.2041	2,389,137.256386
3.643827	0.204	2,471,309.226324
3.647228	0.2041	2,426,103.006778
3.650630	0.2041	2,303,217.912710
3.654030	0.204	2,352,664.390552
3.657432	0.2041	2,390,107.332283
3.660833	0.2041	2,386,130.011658
3.664233	0.204	2,342,289.950722
3.667635	0.2041	2,282,359.142587
3.671037	0.2041	2,328,047.358121
3.674437	0.204	2,378,340.316728
3.677838	0.2041	2,388,562.737191
3.681240	0.2041	2,371,992.120007
3.684640	0.204	2,421,784.174889
3.688042	0.2041	2,435,289.193227
3.691443	0.2041	2,282,937.867254
3.694843	0.204	2,316,366.869658
3.698245	0.2041	2,359,325.638132
3.701647	0.2041	2,311,896.046029
3.705047	0.204	2,348,278.800850
3.708448	0.2041	2,246,128.799026
3.711850	0.2041	2,235,153.401285
3.715250	0.204	2,352,225.166685
3.718652	0.2041	2,320,492.578004
3.722053	0.2041	2,264,134.662837
3.725453	0.204	2,329,605.975838
3.728855	0.2041	2,406,765.388362
3.732257	0.2041	2,349,623.689596
3.735657	0.204	2,311,053.792775
3.739058	0.2041	2,394,990.816851
3.742460	0.2041	2,406,180.138944
3.745860	0.204	2,300,036.035610
3.749262	0.2041	2,310,029.140771
3.752663	0.2041	2,374,437.512068
3.756063	0.204	2,345,354.443810
3.759465	0.2041	2,308,213.662589
3.762867	0.2041	2,291,567.161751
3.766267	0.204	2,332,408.433181
3.769668	0.2041	2,330,402.154587
3.773070	0.2041	2,306,710.755149
3.776470	0.204	2,395,301.553237
3.779872	0.2041	2,340,820.159167
3.783273	0.2041	2,200,900.989875
3.786673	0.204	2,281,542.061892
3.790075	0.2041	2,461,072.126122
3.793477	0.2041	2,448,717.403558
3.796877	0.204	2,344,071.123731
3.800278	0.2041	2,322,305.724328
3.803680	0.2041	2,304,202.754859
3.807080	0.204	2,311,863.071018
3.810482	0.2041	2,307,943.315088
3.813883	0.2041	2,337,862.556236
3.817283	0.204	2,369,245.005079
3.820685	0.2041	2,345,429.970091
3.824087	0.2041	2,381,705.280565
3.827487	0.204	2,348,476.278054
3.830888	0.2041	2,249,469.448720
3.834290	0.2041	2,270,795.129135
3.837690	0.204	2,327,857.403372
3.841092	0.2041	2,330,947.446828
3.844493	0.2041	2,367,548.714868
3.847893	0.204	2,370,716.624696
3.851295	0.2041	2,280,529.525698
3.854697	0.2041	2,192,075.388318
3.858097	0.204	2,276,856.904957
3.861498	0.2041	2,430,187.713546
3.864900	0.2041	2,390,047.953826
3.868300	0.204	2,293,277.453422
3.871702	0.2041	2,317,865.283373
3.875103	0.2041	2,411,064.108934
3.878503	0.204	2,456,092.344238
3.881905	0.2041	2,427,749.557120
3.885307	0.2041	2,292,646.756493
3.888707	0.204	2,278,107.704915
3.892108	0.2041	2,346,552.165868
3.895510	0.2041	2,364,306.201763
3.898910	0.204	2,430,931.009829
3.902312	0.2041	2,330,294.468014
3.905713	0.2041	2,252,120.734713
3.909113	0.204	2,332,517.582106
3.912515	0.2041	2,336,831.460749
3.915917	0.2041	2,395,900.978145
3.919317	0.204	2,420,609.430802
3.922718	0.2041	2,334,982.031379
3.926120	0.2041	2,349,774.257245
3.929520	0.204	2,314,755.468820
3.932922	0.2041	2,272,449.822828
3.936323	0.2041	2,298,474.150506
3.939725	0.2041	2,320,110.055302
3.943125	0.204	2,365,602.841433
3.946527	0.2041	2,312,659.392171
3.949928	0.2041	2,297,410.449278
3.953328	0.204	2,328,939.339629
3.956730	0.2041	2,297,351.100361
3.960132	0.2041	2,340,652.177236
3.963532	0.204	2,317,261.837691
3.966933	0.2041	2,292,965.610053
3.970335	0.2041	2,338,505.572737
3.973735	0.204	2,351,208.057129
3.977137	0.2041	2,373,972.672979
3.980538	0.2041	2,358,817.128870
3.983938	0.204	2,307,413.740329
3.987340	0.2041	2,278,058.079236
3.990742	0.2041	2,347,807.297699
3.994142	0.204	2,388,569.089673
3.997543	0.2041	2,278,295.347092
4.000945	0.2041	2,218,862.556778
4.004345	0.204	2,276,075.777344
4.007747	0.2041	2,328,374.763670
4.011148	0.2041	2,349,325.589360
4.014548	0.204	2,318,425.913451
4.017950	0.2041	2,321,257.271913
4.021352	0.2041	2,317,187.915876
4.024752	0.204	2,258,952.272870
4.028153	0.2041	2,306,608.323317
4.031555	0.2041	2,385,986.329597
4.034955	0.204	2,355,637.972514
4.038357	0.2041	2,281,644.916757
4.041758	0.2041	2,228,411.945788
4.045158	0.204	2,270,211.508442
4.048560	0.2041	2,345,962.028007
4.051962	0.2041	2,334,498.740322
4.055362	0.204	2,252,218.912601
4.058763	0.2041	2,199,052.413620
4.062165	0.2041	2,232,420.167589
4.065565	0.204	2,259,555.514929
4.068967	0.2041	2,263,034.710495
4.072368	0.2041	2,300,559.343375
4.075768	0.204	2,213,139.353055
4.079170	0.2041	2,153,378.719226
4.082572	0.2041	2,314,189.621222
4.085972	0.204	2,274,493.211513
4.089373	0.2041	2,182,464.862390
4.092775	0.2041	2,170,618.339604
4.096175	0.204	2,171,084.316112
4.099577	0.2041	2,237,042.285245
4.102978	0.2041	2,220,946.194434
4.106378	0.204	2,166,174.871424
4.109780	0.2041	2,118,009.142047
4.113182	0.2041	2,101,084.462396
4.116582	0.204	2,122,174.286784
4.119983	0.2041	2,091,359.073040
4.123385	0.2041	1,970,371.529266
4.126785	0.204	1,961,736.938042
4.130187	0.2041	2,045,327.345545
4.133588	0.2041	1,923,959.338928
4.136988	0.204	1,883,722.221863
4.140390	0.2041	1,993,189.540933
4.143792	0.2041	1,971,294.238515
4.147192	0.204	1,897,731.892548
4.150593	0.2041	1,884,510.591347
4.153995	0.2041	1,909,350.228786
4.157395	0.204	1,833,839.396166
4.160797	0.2041	1,851,914.010567
4.164198	0.2041	1,946,882.963782
4.167598	0.204	1,825,764.506536
4.171000	0.2041	1,813,260.548349
4.174402	0.2041	1,876,194.599302
